item_key,citation,evidence_type,problem_statement,magnitude_evidence,risk_types,insufficiency_evidence,solution_mechanisms,mechanism_keywords,oversight_locus,human_role,key_constructs,governance_refs,scope_fit,notes,_truncated
8MXATG38,Karuppuchamy 2026,case-study | empirical | framework-model,"How to safely embed generative AI/LLM assistants across the enterprise SDLC so feature delivery accelerates without sacrificing reliability, given that AI-generated code can be insecure or incorrect and needs human oversight and governance guardrails.","engineers frequently spending roughly one-third of their time reading, categorizing, and routing issue tickets [1]",security | insecure code | incorrect code | hallucination | data leakage | privacy | licensing | quality erosion | operational noise | developer trust,"Prior work has shown that automatically suggested code may contain security vulnerabilities, underscoring the continued need for human oversight and robust validation [6], [8]","multi-layer governance guardrails | human-in-the-loop approval at every stage | AI PR reviewer (non-blocking comments) | SAST/SCA/license scanning gating merges | I/O content filtering and PII redaction | audit/telemetry logging of AI interactions | progressive rollout with feature flags and blast-radius limits | LLM-based bug triage with human-approved auto-closure | advisory-by-default suggestions | self-hosted models for sensitive repos, non-learning cloud mode | DORA metrics evaluation framework | large-suggestion scrutiny threshold and OSS near-copy detection",guardrail | hitl | security-gate | policy-as-code | sast-sca | content-filtering | pii-redaction | audit-logging | telemetry | observability | llm-as-reviewer | risk-routing | escalation | progressive-rollout | feature-flag | blast-radius | provenance | license-scan | advisory-by-default | defense-in-depth | dora-metrics,generation-time | pre-commit | code-review | CI | pre-publish | runtime | post-deployment | issue-triage,in-the-loop,governance-first blueprint | defense-in-depth guardrails | in-place augmentation | multi-layer governance model | advisory-by-default | treat AI like a junior developer/contributor | false positives as human-overridden AI suggestions,,both,,0
96XE669R,Zhong 2025,benchmark | empirical | framework-model | dataset,"Code evaluation for LLM-generated code (""vibe coding"") is anchored to functional correctness (pass@k) and overlooks the non-functional instructions and preferences users routinely screen for, so models can score high on benchmarks yet fail the human ""vibe check.""","LMArena coding subset ""contains over 800K human votes"" aggregated into Elo ratings; 31 LLMs across 10 families evaluated with ""over 10K instruction-level evaluations.""",misalignment-with-user-preference | quality | maintainability | functional-regression | style-convention-nonadherence | documentation-gaps,"""rankings of code LLMs from Copilot Arena exhibit weak or negative correlations with functional scores on popular benchmarks""; even the best model reaches only 46.75% and 40.95% task-level success under five instructions.",VeriCode taxonomy of 30 verifiable code instructions | deterministic linter/AST/regex verifiers returning binary pass/fail | SWE-IF testbed augmenting BigCodeBench and LiveCodeBench | LLM-based instruction selector for relevance/non-conflict | composite functional + instruction-following score as human-preference proxy | verifiable reward signal for model training/RLVR,verifiable-instructions | deterministic-verifier | linter-based | static-analysis | ast-analysis | taxonomy | benchmark-augmentation | composite-score | instruction-following | verifiable-reward | llm-as-selector,generation-time | code-review | pre-commit | CI,in-the-loop,vibe check | vibe coding | VeriCode | SWE-IF | instruction following (IF) | functional regression rate (FRk),,both,"Header title ""Vibe checker"" differs from the paper's actual title ""SWE-IF: Aligning Code Evaluation with Human Preference""; some math notation is garbled in extraction but content is intact.",0
9MV2IVNU,Eze 2026,conceptual-position | framework-model,"When organizations automate decision-making with ML, 'human-in-the-loop' often becomes a compliance label where reviewers approve outputs without the authority, information, time, or confidence to challenge them, creating a false sense of oversight while outcomes remain effectively automated.",,rubber-stamping | automation-bias | false-accountability | governance-failure | fairness | legal | reputational | model-drift | bias | data-quality,"many AI workflows involve human reviewers who formally approve model outputs without the authority, information, time, or confidence to challenge them meaningfully; 'review' effectively becomes approval by default, especially for borderline declines; near-zero override rate in high-stakes decisions","Override control (decision rights to change outcomes) | Escalate (risk-based routing to human review) | Explain (decision-ready reasoning + uncertainty signals) | Execution Boundary Control (intervene before irreversible action) | Evidence Chain (traceable audit record) | KPI measurement framework (override rate, escalation precision, latency, disagreement, harm signals) | tiered review roles | reviewer training as a control | governance cadence and thresholds",override | escalation | risk-routing | explainability | uncertainty-signals | execution-boundary | provenance | evidence-chain | audit-trail | kpi-monitoring | calibration | hitl | tiered-review | counterfactual | drift-detection | policy-as-code | contestability | human-in-command,generation-time | pre-decision | decision-approval | execution-boundary | post-decision | code-review,in-command,Rubber-Stamp Risk | Execution Boundary Control | Intervention Architecture (Override/Escalate/Explain) | Override Chilling | Intervention Drift Index | Escalation Precision / Right-Case Escalation | Evidence Chain Requirements | Meaningful Human Intervention,EU AI Act | GDPR | ISO/IEC 42001 | NIST AI RMF,both,"Document addresses automated decision-making broadly (credit, hiring, healthcare) rather than AI-generated code specifically; oversight framework is domain-general but transferable.",0
9R6TGN82,Yao 2025,system-tool | empirical | controlled-experiment | benchmark | dataset,"LLM code generation ('vibe coding') is increasingly adopted in production but fails to ensure code quality—especially security (e.g., SQL injection) and maintainability (e.g., missing type annotations)—and existing oversight via supervised fine-tuning or rule-based post-processing does not scale.",,security | maintainability | sql-injection | vulnerabilities | reward-hacking | specification-gaming,"Static analyzers like CodeQL, 'which we found unexpectedly ineffective for SecCodePLT+'; handcrafted unit tests 'inherently have limited coverage and do not support maintainability issues'; training-free methods 'perform poorly across most metrics'; and quality-only reward leads to reward hacking where 'the model learned to produce trivial outputs—such as empty code or comments—that maximize quality scores while lacking functionality'",RL with program-analysis feedback | automated vulnerability detector | taint/information-flow analysis (SSA/CFG) | unit-test functionality reward | hybrid quality+functionality reward | MyPy static maintainability check | PPO policy optimization | reference-free reward signals,reinforcement-learning | program-analysis | static-analysis | taint-analysis | security-gate | guardrail | verifiable-reward | unit-tests | hybrid-reward | reward-shaping | ppo | reference-free | automated-feedback,generation-time | training-time,none,REAL (Reinforcement rEwards from Automated program anaLysis) | SecCodePLT+ | SafeSQL | APPS+ | hybrid reward | vulnerability-aware leakage,CWE | MITRE,both,Mathematical notation and figure text partially garbled by PDF extraction; abstract states 18 CWEs in body but 17/18 vary across text.,0
A6ZE2A26,Ullah 2026,empirical | benchmark | controlled-experiment | system-tool,"With LLM 'vibe coding' producing first-draft code (here text-to-SQL) at scale, teams lack a reliable, automated way to decide which model-written queries are safe to accept without routing everything to a human reviewer.","Modern teams ship large volumes of small changes across many services and time zones; expert reviewers are scarce and expensive, review queues create latency (qualitative, no stat)",quality | correctness | silent-failure | judge-bias | false-accepts | downstream-corruption,"single-model judges are uneven; 'use one LLM as the reviewer does not give a stable or uniformly safe operating point'; some single judges reach TPR near 1.0 but FPR above 0.6, passing many incorrect queries; 'Human review helps, but it does not scale.'",unanimous LLM jury/committee | top-six strong-model judge pool | unanimous (AND) acceptance rule | execution-grounded correctness labeling | per-generator committee validation | inclusive vs exclusive self-judging analysis | exhaustive committee-size sweep k=1..6,llm-as-judge | committee | ensemble | unanimous-voting | jury | safety-first | execution-grounded | self-judging | risk-routing | escalation | n-version | auditable | decorrelation,generation-time | code-review | pre-commit | pre-publish,escalation-target,unanimous LLM jury | operating characteristics (TPR/FPR/Youden J) of committees | committee×generator slices | inclusive vs exclusive self-judging,,both,,0
B4TVIG5Y,Tereci 2026,conceptual-position | framework-model,"AI-assisted development tools are adopted informally and without oversight, leaving software quality, security, and productivity impacts from AI-generated code unmeasurable and ungoverned; traditional process/maturity models cannot handle the probabilistic nature of AI-generated code.","AI tools 'can boost developer productivity by lowering routine coding tasks by about 30-50%' [1],[2]",security | quality | maintainability | legal | intellectual-property | licensing | prompt-injection | model-poisoning | training-data-leak | compliance | unpredictability,"Traditional models 'fail to guide probabilistic and non-deterministic software processes for code generated by LLMs'; generated code 'may contain security vulnerabilities, licensing issues, or subtle logical errors that escape standard reviews' [5]",organizational maturity model (AASD-OMM) | five maturity levels roadmap | five governance pillars/dimensions | SDLC-phase-specific process capability areas | governance & ethics dimension | data & measurement metrics dimension | ISO/IEC 330xx-aligned process assessment,maturity-model | governance | process-capability | policy | standardization | measurement | compliance | spice-based | tool-independent | organizational-process,generation-time | code-review | CI | post-deployment | requirements | design | testing | maintenance,in-command,AASD-OMM | triple gap (Integration/Measurement/Process Capability Gap) | AI-Assisted Software Development Organizational Maturity Model | process capability vs competency distinction,EU AI Act | ISO/IEC 33000 | ISO/IEC 330xx | ISO/IEC 15504 (SPICE) | CMMI | ISO/IEC 33004 | ISO/IEC 33020,solution,,0
BAWCBT9R,Zhao 2026,empirical | controlled-experiment | benchmark,"LLM-as-a-Judge is increasingly used to evaluate and rank AI-generated code artifacts (generation, repair, test generation) when human review or executable tests are unavailable, but its verdicts are unreliable and prompt-sensitive, threatening the validity of automated oversight in agentic SE pipelines.",,prompt-sensitivity | position-bias | verbosity-bias | reliability | reproducibility | validity | self-enhancement | manipulation | quality-misjudgment | formatting-failure,"On TestGen the largest swing under GPT saw distraction drop accuracy from 77.46% to 62.51%; generic Qwen3-4B only returns a valid A/B verdict ~44% of inputs (44.37% overall) vs ~99% for Qwen2.5-Coder-3B, frequently generating free-form text until the context limit.",report bias sensitivity alongside accuracy | A/B order swapping control | controlled prompt perturbations / stress tests | test-retest consistency measurement | answer-rate monitoring | difficulty-conditioned reliance/triage | escalate unstable cases to executable evidence or human review | multi-run aggregation | multi-judge ensembles | calibration subset for stability profiling,llm-as-judge | bias-audit | ab-swapping | adversarial-verification | consistency-rate | robustness-rate | calibration | escalation | abstention | ensemble | executable-verification | risk-routing,evaluation-time | patch-selection | candidate-ranking | pre-merge | code-review | CI,escalation-target,Robustness Rate | Consistency Rate (test-retest reliability) | fixed evidence protocol | bias suite (twelve prompt-injected biases) | answer rate | positional prior,,both,"Some OCR/typographic garbling (e.g. 'summaris', 'proviguidance', broken math notation); preprint with placeholder ACM metadata.",0
BLR3XE3I,Li 2026,empirical | case-study,"How vibe coding reconfigures product-team workflows and raises oversight challenges, as AI-generated code is unreliable and prone to over-reliance yet still requires human debugging, verification, and accountability before reaching production.",recent studies show accepting <44% of AI-generated code [Becker et al. 2025]; based on interviews with 22 product team members,code-unreliability | quality | maintainability | code-bloat | integration-failure | security | privacy | data-leakage | legal | copyright-IP | over-reliance | deskilling | hallucination | traceability | homogenization | responsibility-gap,"""There's no firewall, nothing to stop bad AI code before it hits the system.""[P17]; the Replit case where AI-generated changes reached production with minimal review; ""I can see the UI is all right...it hasn't been through any real security checks or code reviews.""[P15]","four-stage human-in-loop workflow (ideation, generation, debugging, review) | expert oversight to remove harmful/redundant code | treat AI output as provisional and verify | manual debugging and correction | testing beyond surface quality | calibrated situational trust | AI disclosure and co-author crediting | prompt/edit-history documentation and design logs | attribution frameworks | version control / traceable AI action histories | automatic verification layers ('firewall') for AI code",hitl | human-review | expert-oversight | verification-layer | calibration | trust-calibration | provenance | disclosure | attribution | traceability | version-control | spec-driven-prompting | escalation,generation-time | debugging | code-review | testing | pre-deployment | production,in-the-loop,vibe coding | intending the right design | designing the right intention | intention-to-UX ecosystem | productivity paradox / pseudo-productivity | responsibility gap | meta-coding | agentic coding vs vibe coding,GDPR,both,,0
C88VGWMI,Marri 2026,case-study | framework-model | system-tool | empirical,"AI-assisted 'vibe coding' generates code that prioritizes functional correctness over security, systematically introducing vulnerabilities that reactive, post-hoc oversight (code review, static analysis) cannot keep pace with as AI accelerates code volume.","Pearce et al. found GitHub Copilot produces vulnerable code in approximately 40% of security-relevant scenarios; Liu et al. [2026] studied 31,132 AI agent skills and found 26.1% contain at least one security vulnerability",security | sql-injection | xss | csrf | authentication-bypass | authorization-idor | hardcoded-credentials | input-validation | integer-overflow | cleartext-storage | log-injection | prompt-injection | specification-poisoning | regulatory-compliance | over-reliance | cognitive-offloading,"Traditional security practices (code reviews, penetration testing, static analysis) operate as post-hoc verification, detecting vulnerabilities after introduction rather than preventing creation; when AI accelerates code generation by orders of magnitude, reactive security processes become inadequate; Perry et al. showed developers using AI assistance write less secure code",constitutional security constraints in spec layer | versioned machine-readable constitution with CWE mappings | MUST/SHOULD/MAY enforcement levels | spec-driven workflow (spec/plan/tasks) | compliance traceability matrix (principle to file:line) | constitutional validation with regeneration | security-native technology selection | context-window principle selection (3-5 per request) | secure-by-construction generation,spec-driven | policy-as-code | guardrail | security-gate | constitutional-constraints | shift-left | secure-by-construction | traceability | provenance | cwe-mapping | design-by-contract | regeneration | governance | versioning,generation-time | specification | pre-commit | code-review,in-command,Constitutional Spec-Driven Development (CSDD) | software constitution | constitutional constraints | compliance traceability matrix | security by construction | specification-layer attack surface,CWE/MITRE Top 25 | PCI-DSS | SOC 2 | GDPR | OWASP Top Ten | RFC 2119 | RFC 7519 | HIPAA,both,,0
CI93QRUH,E. A. González 2025,empirical | controlled-experiment | system-tool,"AI programming tools exclude users from decision-making, causing over-reliance on and blind trust in a single 'best' completion, which leads programmers to unwittingly accept insecure code; the paper addresses how to keep humans meaningfully in the loop during LLM code generation.","studies have found that programmers write less secure code with AI assistants than without [5]-[7]; in the study, BASELINE participants generated 31% more vulnerabilities (MHiLDe=2.67, MBASELINE=3.89, p=0.01)",security | insecure-cryptography | over-reliance | blind-trust | buffer-overflow | path-traversal | arbitrary-code-execution | loss-of-agency | insecure-training-data-patterns,Vasconcelos et al. found that decoding uncertainty highlighting alone offered no advantage over a baseline without it; 'Every solution written with BASELINE used insecure password hashing practices' and BASELINE only suggested SHA256 without salting,human-in-the-loop decoding | critical decision point highlighting | local token-level alternatives preview | natural language explanations of alternative differences | corrected-entropy uncertainty highlighting using semantic importance | completion regeneration preserving similarity to base | analysis LLM scoring alternatives (Significant/Minor/Incorrect + importance score),hitl | decoding-intervention | uncertainty-highlighting | local-alternatives | explanation | token-level-steering | llm-as-analyzer | calibration | importance-scoring | code-completion | intent-alignment,generation-time | code-review | pre-commit,in-the-loop,Human-in-the-Loop Decoding | HiLDE | critical decision highlighting | local alternatives | corrected entropy | Discover-Interpret-Act pattern,,both,,0
D87A4CAS,Şeker 2026,case-study | empirical,"LLM-based coding tools produce hallucinated, contextually inconsistent, and integration-fragile code, so the study examines how human-in-the-loop oversight can ensure the quality, consistency, and security of AI-generated code in a real project (Kolay.ai).","LLMs accelerate development cycles by 30–40%, reduce errors by 30%, and improve onboarding efficiency by 20% (Kolay.ai case study)",hallucination | security | quality | context-inconsistency | integration-complexity | dependency-management | maintainability | bias | privacy,"""certain vulnerabilities persist in LLM-generated code, underscoring the necessity of manual testing and code audits""; hallucinated outputs ""necessitated manual intervention"" and LLMs ""struggle with long-term context, requiring frequent redirection""","human-in-the-loop review workflow | structured/categorized prompt library | modular architecture isolating errors | automated rollback mechanisms | iterative sprint reviews with feedback loops | automated + manual testing combination | CI checkpoints with automated alerts for human intervention | context files for architectural decisions | memory-augmented LLMs (RAG, Transformer-XL) | LLM-assisted vulnerability scanners",hitl | prompt-library | modularization | rollback | sprint-review | escalation | continuous-monitoring | spec-driven | security-scan | memory-augmentation | rag | context-file | human-review,generation-time | code-review | CI | pre-commit | testing,in-the-loop,iterative modular sprint-based development model | structured prompt engineering within modular architecture | HITL workflow,,both,,0
DJHG9BBS,Rasheed 2024,system-tool | conceptual-position,"Traditional code review processes and static analysis tools lack the depth to provide actionable feedback beyond syntax errors or known bug patterns; there is no LLM-based tool that conducts detailed reviews, detects bugs and code smells, and educates developers on best practices.",Thongtanunam et al. [16] discovered that 30% of code reviews face challenges with assigning the correct reviewers,bugs | code-smells | coding-standard-violations | technical-debt | maintainability | runtime-errors,"Traditional code review processes and static analysis tools, often lack the depth to provide actionable feedback beyond the detection of syntax errors or known patterns of bugs; in several cases it detected issues that traditional static analysis tools either missed or reported with very limited explanation",LLM multi-agent code review system | Code Review Agent for initial issue detection | Bug Report Agent for bug identification | Code Smell Agent for refactoring suggestions | Code Optimization Agent for performance/clarity | centralized coordination component for inter-agent messaging,multi-agent | llm-agents | code-review | gpt-4 | prompt-based | refactoring | bug-detection | code-optimization | agent-pipeline | developer-education,code-review | generation-time,none,LLM-based multi-agent code review system | Code Review Agent | Bug Report Agent | Code Smell Agent | Code Optimization Agent,,solution,Short early-results/position paper; no quantitative evaluation of the proposed system reported (only qualitative preliminary observations).,0
DJMBHHZN,Tisi 2025,conceptual-position | framework-model | system-tool,"LLM-based agents applied to software engineering are unreliable and biased, with single-agent hallucinations considered essentially inevitable; the project addresses how to make AI-generated SE artefacts reliable through supervised, orchestrated collaboration among many agents with human intervention.","""more than 40 independent LLMs are available at present""",hallucination | bias | reliability | quality | security-vulnerabilities | safety-critical,"""phenomena like hallucinations of a single agent are substantially inevitable, since they are linked to the fundamental inference mechanism in generative models""","multi-agent collaboration and debate | specialised solution/supervision/consensus/collaboration agents | governance policy language (consensus, majority voting, human-driven) | decision engine moderating agent consensus | voting and sampling for accuracy | agent repository with quality KPIs | AI-agent server protocol (AISP) | BDI-based coordination language | expert user intervention in AI decisions | explainable decision trace",multi-agent-debate | adversarial-verification | supervision-agent | consensus | majority-voting | governance | policy-as-code | orchestration | llm-as-judge | ensemble | hitl | escalation | observability | provenance | agent-repository | protocol,generation-time | code-review | CI | post-deployment,escalation-target,Community of AIs / AI-agent community | AISP (AI Agent Server Protocol) | MOSAICO Decision Engine | Solution/Supervision/Consensus/Collaboration Agents | governance language,,solution,Project-exhibition paper describing an in-progress EU project (first 3 months); mechanisms are proposed/planned rather than empirically evaluated.,0
E3E5YA2E,De La Cruz 2025,empirical | case-study,"The document examines how the role of software developers is shifting toward overseeing, auditing, and validating AI/LLM-generated code, and the security and reliability risks that make rigorous human oversight of that code necessary.",GitHub Copilot code evaluated by Pearce et al. found 'up to 40% depending on the prompt—contained security flaws'; also a systematic review found AI-generated code includes security vulnerabilities more frequently than human-written code.,security | quality | reliability | insecure-patterns | flawed-logic | automation-bias | over-reliance | deskilling | hallucination | accountability | job-displacement | supply-chain,"'syntactically correct but logically flawed or insecure code' that developers over-trust via the 'false confidence trap', discovering 'subtle security issues later'; models 'replicate patterns seen in their training data without fully understanding the context' propagating poor practices.",human-in-the-loop validation | static analysis tools | multi-tiered testing frameworks | peer/code review in AI pipelines | trust calibration | prompt engineering upskilling | AI governance structures and organizational policies | developer AI-validation training | transparency and explainability guidelines | continuous auditing of AI-generated code,hitl | static-analysis | code-review | testing | calibration | governance | policy | training | explainability | auditing | trust-calibration,code-review | generation-time | CI | post-deployment,in-the-loop,false confidence trap | AI orchestrator | human-AI co-creation | hybrid intelligence | VIRTSI trust model | Deskilling of Jobs Theory | Technology Threat Avoidance Theory | Job Characteristics Theory,,both,,0
E689ZAXC,Zhou 2026,empirical | controlled-experiment,"The document examines whether human review (a peer or supervisor evaluating a worker's output) increases meaningful human engagement with AI-generated content, and finds that outcome-focused review instead makes workers offload to AI, accepting its output with little modification.","""Two-thirds of people do not modify the AI-generated content (27)""; workers ""are spending two more hours on average trying to fix the low-quality AI-generated content they encountered at work (10)""",AI-slop | quality | passive-acceptance | over-reliance | loss-of-human-contribution,"""participants who believed that their work would be reviewed by another person submitted a post that was more similar to the AI-generated content (M = 0.82) compared to participants in the No Review condition (M = 0.75), t(239) = 2.38, p = 0.018"" — review paradoxically reduced modification across seven experiments (N=2,895)",outcome-focused review (fails) | peer review | supervisor review | process-transparent review (show AI original + final) | require AI interaction log disclosure,hitl | peer-review | supervisor-review | accountability | process-accountability | provenance | audit-trail | disclosure | process-transparency,pre-submission | code-review | post-hoc-review,on-the-loop,outcome accountability vs process accountability | offloading vs collaboration | AI slop | cognitive misers | process transparency,,both,"Domain is AI-generated knowledge-work content (social media posts, postcards, lesson plans), not AI-generated code specifically; relevance is by analogy to human oversight of AI output. Coding is mentioned only as an example use of AI.",0
E95T8E88,Watanabe 2026,empirical | system-tool | benchmark,"Agentic coding produces larger volumes of code per pull request, shifting the burden to human reviewers who must examine AI-generated methods—many of which are eventually deleted during review—thereby increasing reviewer cognitive load.","Of 12,343 methods added at PR creation, 9.9% of methods are deleted in PRs that require revisions (6.0% at method level, 3.9% at file level); Mozannar et al. reported 'verifying suggestions' accounts for 22.4% of total session time, and Becker et al. found AI tool use increased development time by 19%",redundancy | quality | maintainability | reviewer-burden | unnecessary-code | code-smells,"GPT-4o's Recall was extremely low (2.6%), misclassifying deleted code as 'Survived' by conflating local code quality with system-level necessity; also Becker et al. found AI use increased development time by 19% due to review/correction","Random Forest classifier predicting methods likely to be deleted during review | 23 code-metric features (size, method type, contents) extracted at PR creation | prioritizing reviewer attention on essential code | AST + refactoring detection (ActRef) to label survived vs deleted methods",deletion-prediction | random-forest | code-metrics | reviewer-prioritization | llm-as-judge | feature-importance | risk-routing | pre-merge-triage,pre-commit | code-review | generation-time,in-the-loop,Deleted Methods vs Survived Methods | Agentic-PRs | conflating local code quality with system-level necessity,,both,,0
E9RAWBDT,Pimenova 2025,empirical | framework-model | case-study,"Vibe coding pushes developers to accept AI-generated code with little to no code reading, delegating high-level design decisions to AI; the paper examines how developers oversee, verify, and regulate trust in this AI-generated code and where that oversight breaks down.","r/vibecoding, created six days after the term was coined, 'has already grown to 156,000 members, ranking in the top 1% of Reddit communities'; analysis of over 5,000 comments across 134 posts plus 11 interviews",security | quality | maintainability | technical-debt | reliability | hallucination | legal | data-protection | supply-chain | trustworthy-oss | collaboration | review-fatigue | skill-atrophy | over-reliance | mental-health | environmental,'Teams need processes for this and cannot outsource verification to the same models that generate code'; delegating review to AI self-audit 'signals high trust in model ability; it is unclear how effective these strategies are compared to traditional code review'; 'My 400-line code is now 3000 lines and neither of us can read it anymore' (R63),manual line-by-line code review | test what the code does | delegate review to AI self-audit | plan before vibe coding | break tasks into smaller steps | writing/generating tests | external version control + change logging | quality-focused prompt instructions | best-practice rules/docs in context window | maintain mental model of codebase | trust calibration by project risk level | reserve vibe coding for low-stakes/personal projects,hitl | code-review | self-review | llm-as-judge | test-generation | spec-driven | planning | version-control | provenance | trust-calibration | risk-routing | context-rules | prompt-engineering | task-decomposition,generation-time | code-review | pre-commit | pre-deployment,in-the-loop,"four-component theory of vibe coding (interaction, co-creation, flow, trust) | trust as mediating factor | delegation-to-co-creation spectrum/continuum | flow-code | vibe debugging",,both,"Qualitative study of social-media posts and interviews; oversight/governance is descriptive from practitioner discourse, not formal policy; no named regulatory frameworks despite mentions of data-protection laws and regulators.",0
EB49Q8QM,Tilbury 2024,conceptual-position | framework-model | secondary-review,"The paper addresses how increasing automation and automated decision aids (ADAs) in Security Operation Centers induce automation bias, complacency, and over-reliance among analysts, degrading their oversight of automated outputs. It proposes how to balance automation with human oversight so analysts remain the final decision maker.",Alahmadi et al. (2022) '99% False Positives' study of SOC analysts; WannaCry estimated to affect 'up to 70 000 devices' in NHS hospitals,automation-bias | complacency | over-reliance | cognitive-skill-degradation | loss-of-situation-awareness | alert-fatigue | false-positives | analyst-burnout | missed-critical-alerts,"""automated systems can miss critical alerts"" (Alahmadi et al., 2022); participants operating with incorrect automated decision aids perform worse than those not using automation (Metzger and Parasuraman, 2005); high-profile breaches (Target, WannaCry, Colonial Pipeline) where alerts were ignored due to complacency",task-based automation (calibrate LOA per task) | process-based automation (limit LOA in decision/action phases) | automation performance appraisal | SOC analyst training on automated systems | level-of-automation (LOA) framework calibration by complexity/criticality/cost-of-error | decision trees with contextual reasoning | human-in-the-loop veto/approval gating,hitl | calibration | risk-routing | level-of-automation | human-approval | training | performance-appraisal | explainability | vigilance | trust-calibration | escalation,alert-triage | incident-response | detection | decision-and-action-selection | action-implementation,in-the-loop,"automation bias | automation complacency | errors of omission | errors of commission | Influence, Impact, and Mitigation of Automation Bias Model | four Critical Success Factors (CSFs) | cyber situational awareness | force multiplier",NIST SP 800-61r2,both,"Domain is SOC alert triage/automation, not AI-generated code specifically; oversight-of-automation framing is analogous. Not empirically tested (author-acknowledged limitation).",0
F9JM9CI6,Heander 2025,conceptual-position | framework-model,Fully automating code review to save developer time risks losing the interpersonal and team benefits of the practice; the paper argues AI should support (keep humans in the loop on) code review rather than replace it.,developers spending 10–20% of their working time doing code reviews; with ~28 million developers in 2024 this corresponds to 22-44 million hours every work day,loss of interpersonal benefits | loss of knowledge transfer | loss of shared code ownership | loss of team awareness | blame culture | code quality | defects | review time cost,"while automated tools might succeed in maintaining the code quality, we risk losing interpersonal and team benefits such as knowledge transfer, shared code ownership, and team awareness",AI agent-based code review platform | AI-OS architecture with central LLM kernel | specialized small agents for tool/data integration | adaptive pipeline customized to user needs | defect-marking with suggested review comments | AI code-change summarization | rationale/context aggregation across systems | reviewer recommendation support,hitl | multi-agent | llm-orchestration | human-support | adaptive-workflow | context-aggregation | summarization | defect-suggestion | reviewer-recommendation | tool-integration,code-review | pre-commit,in-the-loop,AI-OS architecture | support-not-automation | Code Review Contextualizer,,solution,,0
FWKYVQPD,Irfan Samsyudin 2025,empirical | controlled-experiment | framework-model,"AI-led conversational ('vibe') coding lets developers generate software via natural language, but the AI-generated code raises maintainability, security, and trust concerns that require human oversight before it can be safely adopted in professional practice.",Security scans revealed that vibe coding outputs contained '22% more potential vulnerabilities than manually written code'; also '15% more duplicated logic and 18% higher complexity scores',security | maintainability | quality | trust | cognitive-load | code-duplication | complexity | reliability,Only 37% of participants felt full confidence in vibe coding outputs without manual review; vibe coding 'should not yet be deployed in mission-critical environments without rigorous oversight',three-pillar responsible adoption framework | hybrid integration with traditional coding | human validation of AI outputs | static analysis and security testing of outputs | peer/code review | context-aware deployment limited to non-critical apps,hitl | human-oversight | hybrid-workflow | static-analysis | security-testing | code-review | context-aware-deployment | validation,generation-time | code-review | pre-production,in-the-loop,"vibe coding | AI-led conversational programming | outcome-centric development | three-pillar framework (hybrid integration, human oversight, context-aware deployment)",ISO/IEC 25010:2023,both,,0
GAD5Z8PV,Vargas 2025,system-tool | case-study | empirical,"AI-assisted debugging in the 'vibe coding' era increasingly produces code modifications that introduce unnecessary complexity, break existing functionality, or address nonexistent problems, and these harmful suggestions can reach production if applied verbatim.","Evaluating 15 software bugs, analyzed 69 AI-generated fix propositions; SLEAN accepted only 22 fixes (31.9%) while rejecting 47 that would have been harmful if applied verbatim",breaking-functionality | over-engineering | unnecessary-complexity | scope-creep | fixing-nonexistent-problems | symptom-not-root-cause | syntax-errors | code-quality-violations | misunderstanding-existing-code | security | maintainability,"Individual AI systems demonstrated systematic bias toward comprehensive refactoring, security hardening, and architectural modifications; 47 of 69 raw AI-generated fixes (68%) would have been harmful if applied verbatim",three-phase multi-provider ensemble protocol | independent parallel analysis (Phase 1) | cross-critique/peer review (Phase 2) | arbitration synthesis with accept/reject (Phase 3) | five quality gates in arbitration | minimal causal edit enforcement / scope pruning | provider-agnostic file-driven orchestration | versioned audit-trail artifacts with attribution | deterministic orchestration for CI/CD,ensemble | decorrelation | cross-critique | adversarial-verification | arbitration | consensus | multi-provider | llm-as-judge | provenance | auditability | scope-control | quality-gates | determinism | policy-as-code | convergence,generation-time | pre-commit | code-review | CI | pre-deployment,none,SLEAN (Simple Lightweight Ensemble Analysis Network) | input minimalism paradox | Type 1 / Type 2 input classification | Arbitration Flag | Convergence Flag | vibe coder simulation,,both,"Case study by a commercial vendor (CyAura AI); arbitrator shares same architecture as one analyzer, a self-noted bias limitation; some OCR artifacts in text.",0
