item_key,bin,centrality,reason_code,title,authors,year,item_type,source,has_pdf,doi,arxiv_id,retrieval_route,is_primary,dup_group,rationale,abstract
YMXUXDFK,context,62,,Detection of vulnerabilities in AI-generated java code using random forest algorithm,S. S. Kumakale; A. A; V. S. Badiger et al.,2026,conferencePaper,ieee,no,10.1109/IITCEE67948.2026.11394305,,library-pull (Purdue),yes,,"ML method to detect vulnerabilities specifically in AI-generated code for integration into developer workflows is a concrete, transferable risk-measurement mechanism.","The swift integration of AI-powered tools for code generation is transforming the software development process, yielding substantial productivity benefits. Nevertheless, the security of code produced by these Large Language Models (LLMs) poses a significant and escalating risk. This paper introduces a thorough machine learning framework for identifying vulnerabilities within AI-generated Java code. We assemble a balanced dataset comprising vulnerable code snippets and their corrected counterparts to train and assess five classical machine learning classifiers: Random Forest, Logistic Regression, Linear SVM, Decision Tree, and Naive Bayes. Our methodology outlines the complete workflow, covering data preparation, feature engineering with Term Frequency-Inverse Document Frequency (TF-IDF), and methodical hyperparameter optimization. The experimental outcomes confirm the high effectiveness of our strategy, with the Random Forest model showing top-tier performance, achieving 95% accuracy and an Area Under the ROC Curve (AUC) of 0.97. Further analysis of the model includes feature importance, statistical significance testing, a case study, and a review of validity threats. Our research indicates that classical ML models provide a potent and interpretable baseline for detecting common security flaws, offering a viable path for integration into developer workflows to fortify the AI-assisted software development lifecycle."
PWC7TXTM,context,62,,Why you shouldn't fully trust ChatGPT: a synthesis of this AI tool's error rates across disciplines and the software engineering lifecycle,Garousi,2025,preprint,arxiv,no,,2504.18858,arxiv-auto,yes,,Evidence-based synthesis of LLM error rates across the SDLC arguing human oversight is essential; strong risk evidence but no specific scaling mechanism.,"Context: ChatGPT and other large language models (LLMs) are widely used across healthcare, business, economics, engineering, and software engineering (SE). Despite their popularity, concerns persist about their reliability, especially their error rates across domains and the software development lifecycle (SDLC). Objective: This study synthesizes and quantifies ChatGPT's reported error rates across major domains and SE tasks aligned with SDLC phases. It provides an evidence-based view of where ChatGPT excels, where it fails, and how reliability varies by task, domain, and model version (GPT-3.5, GPT-4, GPT-4-turbo, GPT-4o). Method: A Multivocal Literature Review (MLR) was conducted, gathering data from academic studies, reports, benchmarks, and grey literature up to 2025. Factual, reasoning, coding, and interpretive errors were considered. Data were grouped by domain and SE phase and visualized using boxplots to show error distributions. Results: Error rates vary across domains and versions. In healthcare, rates ranged from 8% to 83%. Business and economics saw error rates drop from ~50% with GPT-3.5 to 15-20% with GPT-4. Engineering tasks averaged 20-30%. Programming success reached 87.5%, though complex debugging still showed over 50% errors. In SE, requirements and design phases showed lower error rates (~5-20%), while coding, testing, and maintenance phases had higher variability (10-50%). Upgrades from GPT-3.5 to GPT-4 improved reliability. Conclusion: Despite improvements, ChatGPT still exhibits non-negligible error rates varying by domain, task, and SDLC phase. Full reliance without human oversight remains risky, especially in critical settings. Continuous evaluation and critical validation are essential to ensure reliability and trustworthiness."
IZQGW3IU,context,62,,,European Parliament; Council of the European Union,,statute,coursework,no,,,grey-lit (have/manual),yes,,"EU AI Act Article 14 is a concrete human-oversight regulatory framework, transferable but not specific to AI-generated code.","Article 14 of Regulation (EU) 2024/1689 of the European Parliament and of the Council (the EU Artificial Intelligence Act) establishes requirements for human oversight of high-risk AI systems. It obliges providers to design systems enabling effective human monitoring and intervention, including the ability to understand capabilities and limitations, detect and address anomalies, override or interrupt system outputs, and ensure that human oversight persons have appropriate competence and authority."
ZGST9CY6,context,62,,Designing meaningful human oversight in AI,Liming Zhu; Qinghua Lu; Ding Ming et al.,2025,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,"Concrete framework for designing meaningful human oversight of agentic AI, highly transferable to code oversight.","Human oversight is central to safe and responsible AI, but current approaches risk either collapsing agentic AI into mere automation, stripping it of its / The framework provides engineers, safety teams, users, and organisational leaders with a concrete way to design meaningful and effective oversight that / Artificial Intelligent, AI, Agentic AI, Human Oversight, Human Agency"
QZNURHZQ,context,62,,The evaluation paradox: cognitive atrophy and the erosion of human oversight in agentic workflows,Alexey Ermakov,2026,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,"Directly analyzes erosion of human oversight and skill atrophy/automation bias in agentic workflows, a strongly transferable over-reliance angle though not code-specific.","As organizations transition from Generative AI as a tool to autonomous ""coworkers"" (Agentic AI), a structural socio-technical risk emerges-the Evaluation / Cognitive Science, Management of Innovation Agentic AI, Skill Atrophy, Cognitive Load Theory, Human-AI (Machine) Collaboration, Technical Telemetry, Business"
KREBS4T3,context,62,,From policy to practice: prototyping the EU AI act's human oversight requirements,Wannes Ooms; Lotte Cools; Thomas Gils et al.,2025,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,Prototypes operationalizing the AI Act's human-oversight requirement with reviewer feedback—strong transferable oversight mechanism though not code-specific.,"Article 14 AI Act mandates that high-risk AI systems are designed and developed in such a way that they enable effective human oversight. / In addition, the report also features reviewer feedback on those documents and the human oversight requirement contained in article 14 AI Act. / AI Act, Human oversight, high-risk AI systems, policy prototyping, product safety, law enforcement, AI in education, AI in healthcare, Artificial Intelligence / , AI governance, compliance, AI regulation"
BZ4K52DU,context,62,,Responsible machine learning operations: closing the gap between speed and oversight,Andrew Beckstrand,2026,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,"Directly tackles the speed-vs-oversight scaling tension via Governance-as-Code and conditional delegation in high-velocity ML pipelines, strongly transferable.","By implementing Governance-as-Code, organizations translate abstract values into executable constraints, demonstrating that high-velocity systems can maintain / MLOps, Responsible MLOps, Algorithmic Governance, Conditional Delegation, Trustworthy AI, Model Drift, Human-in-the-Loop, AI Safety"
JVWUYDME,context,62,,"Scapegoat-as-a-service: moving from ""human-in-the-loop"" to ""human-in-command"" in regulated systems",Ryan T. Jessee,2026,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,"Directly analyzes limitations/failure modes of human-in-the-loop oversight and proposes Human-in-Command control architecture, central to the strengths/limits angle.","Human-in-the-Loop (HITL) is widely treated as the default safety control for AI in regulated workflows; in production, however, it can function / nbsp;We name this failure mode Scapegoat-as-a-Service and propose Human-in-Command governance, where humans define and enforce an operating envelope for AI-enabled / Human Oversight, AI Governance, Auditability, Regulated Systems, Moral Crumple Zone, Algorithmic Accountability, Meaningful Human Control, Control Architecture / , Automation Bias, Agentic Systems, Risk Management"
3RWMYI5B,context,62,,Adversarial precedent memory: hardening LLM evaluators through mined failure constraints,Daniel Alami,2026,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,Human-in-the-loop hardening of LLM evaluators via mined failure constraints and deterministic gating — an LLM-as-judge oversight mechanism transferable to code review.,"The resulting contribution is not autonomous self-improvement, but a reproducible human-in-the-loop methodology in which evaluator failures are converted / LLM Evaluation, Evaluator Hardening, Zero-Trust AI, Deterministic Gating, Goodhart’s Law, Reward-Channel Corruption, Strategic Reasoning, AI Governance / , Human-in-the-Loop (HITL), Failure-Driven Hardening, Precedent Memory, Recursive Hardening"
9MV2IVNU,context,62,,Human-in-the-loop isn't a checkbox: designing meaningful intervention in automated AI decisions,Sue Eze,2026,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,'Rubber-Stamp Risk' governance failure mode directly addresses meaningless human review at scale—highly transferable to code-review oversight though not code-specific.,"In practice, many AI workflows involve human reviewers who formally approve model outputs without the authority, information, time, or confidence to challenge / This paper introduces Rubber-Stamp Risk as a governance failure mode in AI model automation, in which human review exists but does not materially influence / AI governance, human-in-the-loop, automated decision-making, algorithmic accountability, explainability, AI risk management, EU AI Act, ISO 42001, model / governance, decision system, AI Auditing, algorithmic governance"
JGSFEKVA,context,62,,Use it or slowly lose it: expertise atrophy with organizational AI usage,James Siderius; Robert A. Shumsky; Alva Taylor,2026,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,Models expertise atrophy from organizational AI reliance and incentivizing oversight — over-reliance theme highly transferable to AI-code oversight.,"Problem definition: As organizations adopt generative AI, its use can improve productivity, but reliance can lead to atrophy of worker knowledge and skills The challenge is how to incentivize human oversight and sustain long-run expertise. artificial intelligence, organizational learning, organizational capabilities, human-computer interaction, principal-agent models, skill development"
9IPQ7228,context,62,,Automating modelica module generation using large language models: a case study on building control description language,Wan; Lu; Chen et al.,2025,preprint,arxiv,yes,,2509.14623,have-pdf (skip),yes,,"Empirical LLM code-generation study with human-in-the-loop evaluation finding humans outperform AI validation, a concrete AI-code oversight finding in an engineering domain.","Dynamic energy systems and controls require advanced modeling frameworks to design and test supervisory and fault tolerant strategies. Modelica is a widely used equation based language, but developing control modules is labor intensive and requires specialized expertise. This paper examines the use of large language models (LLMs) to automate the generation of Control Description Language modules in the Building Modelica Library as a case study. We developed a structured workflow that combines standardized prompt scaffolds, library aware grounding, automated compilation with OpenModelica, and human in the loop evaluation. Experiments were carried out on four basic logic tasks (And, Or, Not, and Switch) and five control modules (chiller enable/disable, bypass valve control, cooling tower fan speed, plant requests, and relief damper control). The results showed that GPT 4o failed to produce executable Modelica code in zero shot mode, while Claude Sonnet 4 achieved up to full success for basic logic blocks with carefully engineered prompts. For control modules, success rates reached 83 percent, and failed outputs required medium level human repair (estimated one to eight hours). Retrieval augmented generation often produced mismatches in module selection (for example, And retrieved as Or), while a deterministic hard rule search strategy avoided these errors. Human evaluation also outperformed AI evaluation, since current LLMs cannot assess simulation results or validate behavioral correctness. Despite these limitations, the LLM assisted workflow reduced the average development time from 10 to 20 hours down to 4 to 6 hours per module, corresponding to 40 to 60 percent time savings. These results highlight both the potential and current limitations of LLM assisted Modelica generation, and point to future research in pre simulation validation, stronger grounding, and closed loop evaluation."
EVIRWHTD,context,60,,Vibe coding: toward an AI-native paradigm for semantic and intent-driven programming,Bamil,2025,preprint,arxiv,no,,2510.17842,arxiv-auto,yes,,"Formalizes vibe coding with a reference architecture and reviews security/maintainability risks, but oversight mechanism is largely conceptual.","Recent advances in large language models have enabled developers to generate software by conversing with artificial intelligence systems rather than writing code directly. This paper introduces vibe coding, an emerging AI-native programming paradigm in which a developer specifies high-level functional intent along with qualitative descriptors of the desired ""vibe"" (tone, style, or emotional resonance). An intelligent agent then transforms those specifications into executable software. We formalize the definition of vibe coding and propose a reference architecture that includes an intent parser, a semantic embedding engine, an agentic code generator, and an interactive feedback loop. A hypothetical implementation is described. We compare vibe coding with declarative, functional, and prompt-based programming, and we discuss its implications for software engineering, human-AI collaboration, and responsible AI practice. Finally, we examine reported productivity gains and democratizing effects, review recent studies that highlight vulnerabilities and potential slowdowns, identify key challenges such as alignment, reproducibility, bias, explainability, maintainability, and security, and outline future directions and open research questions."
XSUGEJT2,context,60,,Investigating autonomous agent contributions in the wild: activity patterns and code change over time,Popescu; Gros; Botocan et al.,2026,preprint,arxiv,yes,10.1145/3793302.3793354,2604.00917,have-pdf (skip),yes,,"Large-scale empirical study of agent code quality, churn, and review interaction signals, relevant but largely descriptive of oversight outcomes.","The rise of large language models for code has reshaped software development. Autonomous coding agents, able to create branches, open pull requests, and perform code reviews, now actively contribute to real-world projects. Their growing role offers a unique and timely opportunity to investigate AI-driven contributions and their effects on code quality, team dynamics, and software maintainability. In this work, we construct a novel dataset of approximately $110,000$ open-source pull requests, including associated commits, comments, reviews, issues, and file changes, collectively representing millions of lines of source code. We compare five popular coding agents, including OpenAI Codex, Claude Code, GitHub Copilot, Google Jules, and Devin, examining how their usage differs in various development aspects such as merge frequency, edited file types, and developer interaction signals, including comments and reviews. Furthermore, we emphasize that code authoring and review are only a small part of the larger software engineering process, as the resulting code must also be maintained and updated over time. Hence, we offer several longitudinal estimates of survival and churn rates for agent-generated versus human-authored code. Ultimately, our findings indicate an increasing agent activity in open-source projects, although their contributions are associated with more churn over time compared to human-authored code."
FSASVSDT,context,60,,Navigating the risks: a survey of security and privacy threats in LLM-based agents,Gan; Yang; Ma et al.,2026,journalArticle,acm,yes,10.1145/3807666,,have-pdf (skip),yes,,"Systematic survey with taxonomy and policy directions for security/governance risks of LLM agents across the software lifecycle, strongly transferable to AI-code oversight.","Large language models (LLMs) are increasingly embedded into software engineering workflows as autonomous or semi-autonomous agents for code generation, test synthesis, tool orchestration, and end-to-end task automation. While these agentic capabilities promise substantial productivity and quality gains, they also introduce distinct security and privacy risks at the levels of artifacts, processes, and socio-technical deployment pipelines. These risks threaten the trustworthiness of LLM-powered software and complicate core engineering activities such as specification, design, verification, maintenance, and governance.This survey systematizes the threat landscape for LLM-based agents from a software engineering perspective. We propose a taxonomy organized by threat sources and their impacts across the software lifecycle, explicitly capturing cross-module and cross-stage attack surfaces (e.g., tool-use mediation, memory management, and environment interaction). We further distill six agent features grounded in information-flow and control-flow properties that shape risk exposure. We synthesize current mitigation techniques and their limitations for each feature, and conduct four case studies on web search, gaming, navigation, and software development to illustrate practical risks and failure modes. Building on these analyses, we outline research directions in data, methodology, and policy to guide the development of secure and trustworthy LLM-based agents."
YRBG342S,context,60,,"Synergizing human-AI cooperation in automated software testing: a balance for enhanced efficiency, reliability, and trust",Tuape; Kasurinen; Najjemba et al.,2025,conferencePaper,scopus,no,10.1109/ICECCME64568.2025.11277750,,library-pull (Purdue),yes,,"Argues for active human oversight in AI software testing citing EU AI Act, but a position paper without an evidence base.","Achieving reliable and trustworthy automated software testing requires a synergistic approach that leverages both human expertise and AI capabilities. This position paper argues that active human oversight is crucial for addressing key challenges such as the test oracle problem and training data bias. By fostering human-AI cooperation, potential biases and inaccuracies can be mitigated, leading to more efficient, reliable, and trustworthy automated testing. This approach also aligns with principles from the EU AI Act, which emphasizes the need for effective human control over AI systems. The paper concludes by outlining a future research agenda focused on developing frameworks to foster seamless human-AI collaboration and presenting several open research questions vital for advancing the field.  © 2025 IEEE."
ZP7AKMBR,context,60,,Investigating generative AI’s impact on software organizations’ security practices: a multi-case study using gioia methodology,Hein,2026,conferencePaper,scopus,yes,10.1007/978-3-032-14518-5_12,,have-pdf (skip),yes,,"Empirical multi-case study of GenAI adoption in software orgs' security practices with trust/risk model, adjacent but security- not oversight-focused.","The integration of generative AI in software organizations presents promising opportunities for automating and enhancing security activities; however, its practical impact on the security practices of software organizations and associated risks remains underexplored. This study investigates how generative AI can enhance software security practices through a multi-case study involving five software organizations. By conducting semi-structured interviews with developers and managers, we identified four security practices where generative AI can support threat assessment, security testing, operational management, and education & guidance. At the same time, we uncover sociotechnical risks that may impede adoption, including concerns about inadequate data management of AI, inaccurate output, and a lack of trust. Guided by the OWASP SAMM framework and rooted in the Gioia methodological approach, our findings are synthesized into a theoretical model of generative AI adoption impacting security practices. This model highlights both the perceived benefits and the risks organizations encounter. Our work provides insights for software organizations looking to adopt generative AI into security-related workflows and contributes a foundational understanding of how such tools are perceived in practice. The paper emphasizes the importance of balancing innovation with caution as software organizations increasingly incorporate generative AI within secure development. © The Author(s) 2026."
5H6KQCJM,context,60,,Will it survive? Deciphering the fate of AI-generated code in open source,Rahman; Shihab,2026,preprint,coursework,yes,10.48550/arXiv.2601.16809,2601.16809,have-pdf (skip),yes,,"Empirical survival analysis of AI-code framing organizational practices as the maintenance bottleneck, transferable but not an oversight mechanism per se.","The integration of AI agents as coding assistants into software development has raised questions about the long-term viability of AI agent-generated code. A prevailing hypothesis within the software engineering community suggests this code is ""disposable"", meaning it is merged quickly but discarded shortly thereafter. If true, organizations risk shifting maintenance burden from generation to post-deployment remediation. We investigate this hypothesis through survival analysis of 201 open-source projects, tracking over 200,000 code units authored by AI agents versus humans. Contrary to the disposable code narrative, agent-authored code survives significantly longer: at the line level, it exhibits a 15.8 percentage-point lower modification rate and 16% lower hazard of modification (HR = 0.842, p < 0.001). However, modification profiles differ. Agent-authored code shows modestly elevated corrective rates (26.3% vs. 23.0%), while human code shows higher adaptive rates. However, the effect sizes are small (Cramér's V = 0.116), and per-agent variation exceeds the agent-human gap. Turning to prediction, textual features can identify modification-prone code (AUC-ROC = 0.671), but predicting when modifications occur remains challenging (Macro F1 = 0.285), suggesting timing depends on external organizational dynamics. The bottleneck for agent-generated code may not be generation quality, but the organizational practices that govern its long-term evolution."
2VYT4B7G,context,60,,Artificial intelligence risk management framework (AI RMF 1.0),National Institute Of Standards And Technology,2023,report,coursework,yes,10.6028/NIST.AI.100-1,,have-pdf (skip),yes,,"NIST AI RMF is an operationalizable org-level AI risk-governance framework, transferable non-code-specific regulatory anchor.","As directed by the National Artificial Intelligence Initiative Act of 2020 (P.L. 116-283), the goal of the AI RMF is to offer a resource to the organizations designing, developing, deploying, or using AI systems to help manage the many risks of AI and promote trustworthy and responsible development and use of AI systems. The Framework is intended to be voluntary, rights-preserving, non-sector specific, and use-case agnostic, providing flexibility to organizations of all sizes and in all sectors and throughout society to implement the approaches in the Framework.   The AI RMF is intended to be practical, to adapt to the AI landscape as AI technologies continue to develop, and to be operationalized by organizations in varying degrees and capacities so society can benefit from AI while also being protected from its potential harms."
ZPAZL9I7,context,60,,Trustworthiness of large language models for code,D. Khati,2025,conferencePaper,ieee,no,10.1109/ICSE-Companion66252.2025.00063,,library-pull (Purdue),yes,,"Dissertation proposing a trustworthiness evaluation framework for code LLMs, relevant to oversight metrics but proposal-stage without validated findings.","In recent years, Large Language Models for code (LLMc) have transformed the landscape of software engineering (SE), demonstrating significant efficacy in tasks such as code completion, summarization, review, tracing, translation, test case generation, clone detection, and bug fixing. Notably, GitHub Copilot and Google's CodeBot exemplify how LLMc contributes to substantial time and effort savings in software development. However, the widespread application of these models has raised critical concerns regarding their trustworthiness. The lack of well-defined trust metrics beyond mere accuracy poses significant risks, including potential security vulnerabilities and compromised data integrity. This dissertation proposes solving this pressing need by developing a comprehensive framework to evaluate LLMc's trustworthiness. We aim to establish contextualized definitions of trust, distrust, and trustworthiness specific to LLMc, identify key influencing factors, and create a standardized evaluation framework encompassing both model-based attributes and human-centric considerations. We will validate the framework's effectiveness through rigorous empirical studies and user evaluations and provide insights for targeted improvements in LLMc development. This dissertation seeks to enhance the reliability and transparency of LLMc, fostering their responsible integration into software engineering practices and paving the way for more trustworthy AI-assisted code generation."
D84PYEZM,context,60,,"Invisible risks, visible code: a vision for understanding ethical debt in AI-based coding",D. Salah,2025,conferencePaper,ieee,no,10.1109/ESEM64174.2025.00074,,library-pull (Purdue),yes,,"Directly on-topic framework for ethical debt/accountability of AI-generated code across developers and orgs, but a vision paper without an evidence base.","Background: AI-based coding assistants such as GitHub Copilot, ChatGPT, and Amazon CodeWhisperer are transforming software development by automating tasks, generating code, and supporting prototyping. While these tools enhance productivity, they also pose ethical risks, including copyright violations, insecure code, and ambiguous accountability. Such risks may remain hidden during development but emerge later as legal, social, or technical liabilities. Existing constructs, such as technical debt, are insufficient to capture these challenges. Aims: This paper introduces and formalizes the concept of ethical debt—the accumulation of unresolved ethical risks in AI assisted software development. The objective is to conceptualize ethical debt as a distinct construct, identify its causes and consequences, and establish a research agenda for addressing it. Method: Inspired by the metaphor of technical debt, the paper develops a framework for ethical debt that defines its sources, manifestations, and outcomes. The proposed research program involves theorizing its dimensions, mapping accountability across developers, AI systems, and organizations, and designing empirical approaches for its detection and mitigation. Results: Illustrative cases and a structured research agenda demonstrate how ethical risks, typically invisible in early development, can be systematically surfaced and addressed. Conclusions: By framing hidden ethical risks as a form of debt, this work provides both a theoretical foundation and a practical pathway for responsible AI-enhanced software engineering. Ethical debt makes intangible risks visible and actionable, offering guidance for researchers, practitioners, and organizations to integrate ethical responsibility into modern software development."
2MPUZHQL,context,60,,Asleep at the keyboard? Assessing the security of GitHub copilot’s code contributions,H. Pearce; B. Ahmad; B. Tan et al.,2022,conferencePaper,ieee,no,10.1109/SP46214.2022.9833571,,library-pull (Purdue),yes,,"Foundational empirical evidence that ~40% of Copilot code is vulnerable, central risk-recognition basis motivating AI-code oversight.","There is burgeoning interest in designing AI-based systems to assist humans in designing computing systems, including tools that automatically generate computer code. The most notable of these comes in the form of the first self-described ‘AI pair programmer’, GitHub Copilot, which is a language model trained over open-source GitHub code. However, code often contains bugs—and so, given the vast quantity of unvetted code that Copilot has processed, it is certain that the language model will have learned from exploitable, buggy code. This raises concerns on the security of Copilot’s code contributions. In this work, we systematically investigate the prevalence and conditions that can cause GitHub Copilot to recommend insecure code. To perform this analysis we prompt Copilot to generate code in scenarios relevant to high-risk cybersecurity weaknesses, e.g. those from MITRE’s “Top 25” Common Weakness Enumeration (CWE) list. We explore Copilot’s performance on three distinct code generation axes—examining how it performs given diversity of weaknesses, diversity of prompts, and diversity of domains. In total, we produce 89 different scenarios for Copilot to complete, producing 1,689 programs. Of these, we found approximately 40% to be vulnerable."
UJL4BZZ9,context,60,,Application of large language models in software development: review of the current state and development perspectives,B. Radenkovic; S. Prokhorov; M. Radenkovic et al.,2025,conferencePaper,ieee,no,10.1109/EnT68818.2025.11245717,,library-pull (Purdue),yes,,"Broad LLMOps/DevOps review with an org-readiness framework and safe-deployment best practices, transferable but not code-oversight-specific.","Large Language Models (LLMs) are rapidly transforming software engineering by automating tasks such as code generation, test creation, debugging, and documentation. Their integration across the software development lifecycle, from requirements analysis to deployment, introduces both unprecedented opportunities and serious challenges. This paper offers a comprehensive review of LLM applications in software engineering, contextualized within the frameworks of LLMOps and DevOps. It examines how specialized models and autonomous agents are reshaping workflows and proposes a framework for assessing organizational readiness for LLM adoption. In addition to technical capabilities, we discuss limitations such as hallucinations, context constraints, and the lack of explainability, as well as broader concerns around licensing, security, and developer deskilling. Drawing from recent research and tooling ecosystems, we synthesize the emerging best practices for safely deploying LLMs in production environments. This article aims to equip practitioners and researchers with a structured understanding of the current state and future direction of LLM-assisted software development."
5F7E92UD,context,60,,Is vibe coding the future? An empirical assessment of LLM generated codes for construction safety,Uddin,2026,preprint,arxiv,yes,,2604.12311,have-pdf (skip),yes,,"Empirically quantifies silent-failure risk of vibe-coded scripts and argues for governance/deterministic wrappers, though situated in the construction-safety domain.","The emergence of vibe coding, a paradigm where non-technical users instruct Large Language Models (LLMs) to generate executable codes via natural language, presents both significant opportunities and severe risks for the construction industry. While empowering construction personnel such as the safety managers, foremen, and workers to develop tools and software, the probabilistic nature of LLMs introduces the threat of silent failures, wherein generated code compiles perfectly but executes flawed mathematical safety logic. This study empirically evaluates the reliability, software architecture, and domain-specific safety fidelity of 450 vibe-coded Python scripts generated by three frontier models, Claude 3.5 Haiku, GPT-4o-Mini, and Gemini 2.5 Flash. Utilizing a persona-driven prompt dataset (n=150) and a bifurcated evaluation pipeline comprising isolated dynamic sandboxing and an LLM-as-a-Judge, the research quantifies the severe limits of zero-shot vibe codes for construction safety. The findings reveal a highly significant relationship between user persona and data hallucination, demonstrating that less formal prompts drastically increase the AI's propensity to invent missing safety variables. Furthermore, while the models demonstrated high foundational execution viability (~85%), this syntactic reliability actively masked logic deficits and a severe lack of defensive programming. Among successfully executed scripts, the study identified an alarming ~45% overall Silent Failure Rate, with GPT-4o-Mini generating mathematically inaccurate outputs in ~56% of its functional code. The results demonstrate that current LLMs lack the deterministic rigor required for standalone safety engineering, necessitating the adoption of deterministic AI wrappers and strict governance for cyber-physical deployments."
GD3RMX4R,context,60,,On integrating resilience and human oversight into LLM-assisted modeling workflows for digital twins,P; Karanjkar,2026,preprint,arxiv,yes,,2603.25898,have-pdf (skip),yes,,"Concrete design principles for integrating human oversight into LLM code-generation workflows with error characterization, but framed in digital-twin/simulation domain.","LLM-assisted modeling holds the potential to rapidly build executable Digital Twins of complex systems from only coarse descriptions and sensor data. However, resilience to LLM hallucination, human oversight, and real-time model adaptability remain challenging and often mutually conflicting requirements. We present three critical design principles for integrating resilience and oversight into such workflows, derived from insights gained through our work on FactoryFlow - an open-source LLM-assisted framework for building simulation-based Digital Twins of manufacturing systems. First, orthogonalize structural modeling and parameter fitting. Structural descriptions (components, interconnections) are LLM-translated from coarse natural language to an intermediate representation (IR) with human visualization and validation, which is algorithmically converted to the final model. Parameter inference, in contrast, operates continuously on sensor data streams with expert-tunable controls. Second, restrict the model IR to interconnections of parameterized, pre-validated library components rather than monolithic simulation code, enabling interpretability and error-resilience. Third, and most important, is to use a density-preserving IR. When IR descriptions expand dramatically from compact inputs hallucination errors accumulate proportionally. We present the case for Python as a density-preserving IR : loops express regularity compactly, classes capture hierarchy and composition, and the result remains highly readable while exploiting LLMs strong code generation capabilities. A key contribution is detailed characterization of LLM-induced errors across model descriptions of varying detail and complexity, revealing how IR choice critically impacts error rates. These insights provide actionable guidance for building resilient and transparent LLM-assisted simulation automation workflows."
B56YY529,context,60,,Algorithmic accountability of low-code/No-code artificial intelligence: a literature review,Somer,2025,conferencePaper,scopus,no,,,library-pull (Purdue),yes,,"SLR on accountability/governance frameworks for low-code/no-code AI where direct oversight is diminished, closely adjacent and transferable.","Algorithmic Accountability of Low-Code/No-Code Artificial Intelligence (LCNC AI) presents a significant challenge, as these platforms democratize AI development while diminishing direct oversight. Unlike traditional AI systems, applications built with LCNC AI tools often lack governance structures, increasing risks of bias, opacity, and regulatory non-compliance. Organizations struggle to implement accountability mechanisms as non-technical users deploy AI without comprehensive validation frameworks. This study conducts a Structured Literature Review (SLR) to analyze existing research on algorithmic accountability in LCNC AI. The findings highlight critical risks, governance approaches, and accountability frameworks essential for mitigating ethical and compliance concerns. The study emphasizes the necessity of hybrid governance approaches, integrating organizational oversight with user-driven compliance measures. To bridge research gaps, this study proposes a research agenda aimed at refining ethical and regulatory frameworks for LCNC AI. By providing concrete governance strategies, this study offers practical recommendations for organizations to ensure accountable and responsible LCNC AI deployment. © (2025) by Association for Information Systems (AIS) All rights reserved."
93672HBY,context,60,,“You’re on a bicycle with a little motor”: benefits and challenges of using AI code assistants,W. Mendes; S. Souza; C. R. B. De Souza,2024,conferencePaper,ieee,no,,,library-pull (Purdue),yes,,Interview study of developer experiences and coping strategies with AI code assistants; relevant over-reliance/oversight angle but not framed as governance.,"AI code assistants, such as Tabnine, GitHub CoPilot, and ChatGPT, employ Large Language Models (LLMs) trained on extensive source code and other documents. They receive prompts and generate code suggestions aimed to facilitate programming tasks. Previous research in this field has explored the correctness, complexity, quality, and security of the code suggestions. Software developers’ experiences have been studied in the context of controlled experiments. Based on 14 interviews with software developers, this paper describes the developers’ daily and continuous experiences with AI code assistants, presenting benefits and challenges grounded in actual development work, along with strategies to address these challenges."
2CBE8X9X,context,60,,Prompting as governance: behavioral gaps and control system failures in AI-assisted infrastructure operations,Piyoosh Rai,2026,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,"Empirical (570 experiments) test of whether prompting works as a governance control in AI-assisted infrastructure ops, methodologically strong and transferable to code oversight.","This paper examines whether prompt engineering can function as a reliable governance control mechanism in AI-assisted infrastructure operations. / Through 570 controlled experiments using GPT-4 and Claude Sonnet 4 across 90 infrastructure scenarios, we evaluate governance quality under four prompting / infrastructure automation, large language models, governance controls, human factors, prompt engineering, operational reliability, control systems"
ACPKFPNE,context,60,,Operationalizing trust: a five-step human-in-the-loop (HITL) governance framework for generative AI in banking,Prashant Saurabh Singh,2026,journalArticle,ssrn,no,,,ssrn-manual (likely not-retrievable),yes,,"Operational five-step HITL governance framework for generative AI with guardrails—core oversight mechanism, transferable from banking.","While the industry seeks to leverage Large Language Models (LLMs) for efficiency, strict regulatory frameworks (e.g., NYDFS Part 500, EU AI Act) demand / This paper proposes a novel, operational governance framework: The TRUST Model (Triage, Review, Underwrite, Strengthen, Track). / Shadow AI, Banking, Human-in-the-Loop, AI Governance, Risk Management, LLM Guardrails, Generative AI Banking, AI Guardrails, NIST AI RMF, AI Risk Management"
