rank,item_key,centrality,title,authors,year,item_type,source,has_pdf,doi,arxiv_id,opus_rationale,abstract,human_bin,human_note
43,FWKYVQPD,80,Vibe coding and AI-led conversational programming: emerging trends in software development,Irfan Samsyudin,2025,journalArticle,ssrn,no,,,Directly on vibe coding with a three-pillar human-oversight framework for responsible adoption addressing trust and security.,"AI-assisted programming, evaluates its performance, investigates cognitive, trust, and security implications, and proposes a framework for responsible adoption / A three-pillar framework is proposed-hybrid integration, human oversight, and context-aware deployment-to guide responsible adoption. / Vibe Coding, Conversational Programming, Artificial Intelligence, Software Development Paradigms, Human-AI Collaboration, Code Quality, Responsible AI",,
44,732VDKJD,78,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research agenda",Meske; Hermanns; von der Weiden et al.,2025,journalArticle,wos,yes,10.1109/ACCESS.2025.3645466,,"Defines vibe coding and maps responsibility gaps, black-box risks, and org-centered oversight research agenda central to the RQ.","Software development is undergoing a fundamental transformation as vibe coding becomes widespread, with large portions of contemporary codebases now being generated by Artificial Intelligence (AI). The disconnect between rapid adoption and limited conceptual understanding highlights the need for an inquiry into this emerging paradigm. Drawing on an intent perspective and historical analysis, we define vibe coding as a software development paradigm where humans and Generative AI (GenAI) engage in collaborative flow to co-create software artifacts through natural language dialogue, shifting the mediation of developer intent from deterministic instruction to probabilistic inference. By intent mediation, we refer to the fundamental process through which developers translate their conceptual goals into representations that computational systems can execute. Our results show that vibe coding redistributes epistemic labor between humans and machines, shifting expertise from technical implementation toward collaborative orchestration. We identify key opportunities, including democratization, acceleration, and systemic leverage, alongside risks such as black-box codebases, responsibility gaps, and ecosystem bias. We conclude with a research agenda spanning human-, technology-, and organization-centered directions to guide future investigations of this paradigm.",,
45,J5TG9IQB,78,"From code-centric to intent-centric software engineering: a reflexive thematic analysis of generative AI, agentic systems, and engineering accountability",Cruz,2026,preprint,arxiv,yes,,2605.11027,"Thematic analysis centering governance, accountability, verification gates, and bounded autonomy in supervising AI-generated code.","Generative artificial intelligence (GenAI) and agentic systems are moving software engineering from code-centric production toward intent-centric human-agent work in which natural language, repository context, tools, tests, and governance shape delivery. Prior studies examine code generation, AI pair programming, and software engineering agents, but less is known about how public technical discourse and peer-reviewed evidence together frame the profession's near-term transition. This study addresses that gap through a reflexive thematic analysis (RTA) dominant and interpretative phenomenological analysis (IPA) informed public-discourse and document analysis. The corpus combines peer-reviewed software engineering and AI literature, technical benchmarks, public talks and interviews, essays, product-facing technical announcements, and X-originated discourse from prominent AI and software engineering voices. Sources were organized through a corpus register, codebook, coding matrix, theme-to-source traceability table, DOI/reference audit, and reproducibility protocol. The analysis shows that GenAI lowers the cost of producing plausible code while increasing the importance of intent specification, context curation, architecture knowledge, verification, security, provenance, governance, and accountable human judgment. The findings indicate that software engineering is becoming less about isolated code authorship and more about supervising, validating, and governing socio-technical systems of humans, agents, tools, and evidence gates. This matters because speed-focused adoption can accumulate hidden technical debt and accountability gaps, whereas bounded autonomy can preserve quality, security, maintainability, and trust.",,
46,7C3MCTVH,78,Understanding dominant themes in reviewing agentic AI-authored code,Haider; Zimmermann,2026,preprint,arxiv,yes,,2601.19287,"Large-scale empirical taxonomy of how reviewers respond to agent-authored PRs, explicitly identifying where targeted human review oversight remains needed.","While prior work has examined the generation capabilities of Agentic AI systems, little is known about how reviewers respond to AI-authored code in practice. In this paper, we present a large-scale empirical study of code review dynamics in agent-generated PRs. Using a curated subset of the AIDev dataset, we analyze 19,450 inline review comments spanning 3,177 agent-authored PRs from real-world GitHub repositories. We first derive a taxonomy of 12 review comment themes using topic modeling combined with large language model (LLM)-assisted semantic clustering and consolidation. According to this taxonomy, we then investigate whether zero-shot prompts to LLM can reliably annotate review comments. Our evaluation against human annotations shows that open-source LLM achieves reasonably high exact match (78.63%), macro F1 score (0.78), and substantial agreement with human annotators at the review comment level. At the PR level, the LLM also correctly identifies the dominant review theme with 78% Top-1 accuracy and achieves an average Jaccard similarity of 0.76, indicating strong alignment with human judgments. Applying this annotation pipeline at scale, we find that apart from functional correctness and logical changes, reviews of agent-authored PRs predominantly focus on documentation gaps, refactoring needs, styling and formatting issues, with testing and security-related concerns. These findings suggest that while AI agents can accelerate code production, there remain gaps requiring targeted human review oversight.",,
47,6NTZ85CW,78,Multi-agent penetration testing AI for the web,David; Gervais,2025,preprint,arxiv,yes,,2508.20816,Directly frames the scalability crisis of auditing vulnerability-laden AI-generated code and offers an adversarial multi-agent security-oversight mechanism with empirical results.,"AI-powered development platforms are making software creation accessible to a broader audience, but this democratization has triggered a scalability crisis in security auditing. With studies showing that up to 40% of AI-generated code contains vulnerabilities, the pace of development now vastly outstrips the capacity for thorough security assessment. We present MAPTA, a multi-agent system for autonomous web application security assessment that combines large language model orchestration with tool-grounded execution and end-to-end exploit validation. On the 104-challenge XBOW benchmark, MAPTA achieves 76.9% overall success with perfect performance on SSRF and misconfiguration vulnerabilities, 83% success on broken authorization, and strong results on injection attacks including server-side template injection (85%) and SQL injection (83%). Cross-site scripting (57%) and blind SQL injection (0%) remain challenging. Our comprehensive cost analysis across all challenges totals $21.38 with a median cost of $0.073 for successful attempts versus $0.357 for failures. Success correlates strongly with resource efficiency, enabling practical early-stopping thresholds at approximately 40 tool calls or $0.30 per challenge. MAPTA's real-world findings are impactful given both the popularity of the respective scanned GitHub repositories (8K-70K stars) and MAPTA's low average operating cost of $3.67 per open-source assessment: MAPTA discovered critical vulnerabilities including RCEs, command injections, secret exposure, and arbitrary file write vulnerabilities. Findings are responsibly disclosed, 10 findings are under CVE review.",,
48,4AXDVW7J,78,Ethical prompt engineering for AI-driven SE: evidence-informed interaction-time governance roadmap to 2030,Migliarini; Autili; Inverardi et al.,2026,journalArticle,acm,yes,10.1145/3801980,,"Evidence-informed governance roadmap for interaction-time controls (provenance, auditable checks, human oversight, escalation) across the SDLC including code review.","Background. As LLMs become a routine “interaction layer” inside software engineering toolchains, teams increasingly rely on prompts, retrieval scope, and lightweight checks to steer behavior without access to model internals, while still needing accountability, reproducibility, and cost awareness across the Software Development Life Cycle (SDLC).Motivating scenario. Consider an organization where multiple LLM-backed tools are invoked throughout development (requirements critique, design reviews, code review, testing, maintenance) across heterogeneous repositories, evolving policies, and sometimes different jurisdictions. In such a setting, the practical governance problem is not a single task prompt, but the need to make interaction-time controls reviewable and replayable: what policy and context were bound at invocation, what sources were retrievable, what checks ran, what trade-offs were accepted, and what evidence supports the output.Aim and scope. This paper proposes an evidence-informed roadmap to 2030 for Ethical Prompt Engineering (EPE), scoped strictly to interaction-time. It frames prompts, policy/context bindings, retrieval scope, and checks as versioned, auditable artifacts integrated into existing SE workflows, while making explicit what EPE cannot guarantee and when escalation beyond the prompt layer is required.Method. Adopting a design-science stance, the roadmap is built via a focused rapid review that consolidates convergent evidence from prompting surveys, LLM-for-SE syntheses, and governance-oriented sources, extending the authors’ earlier SE2030 workshop version with broader evidence and a capability-oriented synthesis plus reporting guidance.Results and contributions. The roadmap delivers: (i) a challenge map centered on policy/context binding, provenance for review, robustness and transfer across models and repositories, sustainability of safeguards, and human oversight; (ii) harmonized evaluation constructs and a reporting kit that co-reports utility with ethical compliance, robustness to prompt perturbations, traceability from constraints to output spans/tool calls, and sustainability overhead with full configuration disclosure; and (iii) a reference capability model that groups policy/context handling, prompt planning/patterning, provenance/audit, and evaluation/reporting, mapped across SDLC activities and distilled into actionable agenda cards to 2030.Boundaries and implications. Within its remit, EPE can constrain outputs, scope retrieval to vetted artifacts, require citations, and capture provenance; it cannot remove entrenched representational harms or unintended memorization, so the roadmap treats escalation to model/data or organizational governance as a first-class requirement, alongside risk-based and cost/energy-transparent adoption.",,
49,E3E5YA2E,78,"Redefining the programmer: human-AI collaboration, LLMs, and security in modern software engineering",De La Cruz; Le; Meduri et al.,2025,journalArticle,"scopus,wos",yes,10.32604/cmc.2025.068137,,Empirical qualitative study of developers' automation bias and need for rigorous human oversight of AI-generated code.,"The rapid integration of artificial intelligence (AI) into software development, driven by large language models (LLMs), is reshaping the role of programmers from traditional coders into strategic collaborators within Industry 4.0 ecosystems. This qualitative study employs a hermeneutic phenomenological approach to explore the lived experiences of Information Technology (IT) professionals as they navigate a dynamic technological landscape marked by intelligent automation, shifting professional identities, and emerging ethical concerns. Findings indicate that developers are actively adapting to AI-augmented environments by engaging in continuous upskilling, prompt engineering, interdisciplinary collaboration, and heightened ethical awareness. However, participants also voiced growing concerns about the reliability and security of AI-generated code, noting that these tools can introduce hidden vulnerabilities and reduce critical engagement due to automation bias. Many described instances of flawed logic, insecure patterns, or syntactically correct but contextually inappropriate suggestions, underscoring the need for rigorous human oversight. Additionally, the study reveals anxieties around job displacement and the gradual erosion of fundamental coding skills, particularly in environments where AI tools dominate routine development tasks. These findings highlight an urgent need for educational reforms, industry standards, and organizational policies that prioritize both technical robustness and the preservation of human expertise. As AI becomes increasingly embedded in software engineering workflows, this research offers timely insights into how developers and organizations can responsibly integrate intelligent systems to promote accountability, resilience, and innovation across the software development lifecycle. Copyright © 2025 The Authors.",,
50,YBHHYR4P,78,Do users write more insecure code with AI assistants?,Perry; Srivastava; Kumar et al.,2023,conferencePaper,coursework,yes,10.1145/3576915.3623157,2211.03622,Large-scale user study on AI-assistant over-reliance/overtrust and insecure code—directly a core oversight failure mode.,"We conduct the first large-scale user study examining how users interact with an AI Code assistant to solve a variety of security related tasks across different programming languages. Overall, we find that participants who had access to an AI assistant based on OpenAI's codex-davinci-002 model wrote significantly less secure code than those without access. Additionally, participants with access to an AI assistant were more likely to believe they wrote secure code than those without access to the AI assistant. Furthermore, we find that participants who trusted the AI less and engaged more with the language and format of their prompts (e.g. re-phrasing, adjusting temperature) provided code with fewer security vulnerabilities. Finally, in order to better inform the design of future AI-based Code assistants, we provide an in-depth analysis of participants' language and interaction behavior, as well as release our user interface as an instrument to conduct similar studies in the future.",,
51,HLFJPDC4,78,A roadmap for modern code review: challenges and opportunities,Yang; Gao; Guo et al.,2026,journalArticle,acm,yes,10.1145/3800963,,"Roadmap diagnosing code-review scalability bottlenecks under GenAI and proposing human-AI symbiosis paradigms, central to oversight-keeping-pace.","Over the past decade, modern code review (MCR) has been established as a cornerstone of software quality assurance and a vital channel for knowledge transfer within development teams. However, the manual inspection of increasingly complex systems remains a cognitively demanding and resource-intensive activity, often leading to significant workflow bottlenecks. This paper presents a comprehensive roadmap for the evolution of MCR, consolidating over a decade of research (2013–2025) into a unified taxonomy comprising improvement techniques, which focus on the technical optimization and automation of downstream review tasks, and understanding studies, which investigate the underlying socio-technical mechanisms and empirical phenomena of the review process. By diagnosing the current landscape through a strategic SWOT analysis, we examine the transformative impact of generative AI and identify critical gaps between burgeoning AI capabilities and industrial realities. We envision a future where MCR evolves from a human-driven task into a symbiotic partnership between developers and intelligent systems. Our roadmap charts this course by proposing three pivotal paradigm shifts, Context-Aware Proactivity, Value-Driven Evaluation, and Human-Centric Symbiosis, aiming to guide researchers and practitioners in transforming MCR into an intelligent, inclusive, and strategic asset for the AI-driven future.",,
52,QUXRX9ZL,78,The prompt–refactor–verify (PRV) cycle: a human-centered framework for AI-assisted programming,N. Yanev; I. Getova; E. Mihaylova et al.,2025,conferencePaper,"ieee,scopus",no,10.1109/CIEES66347.2025.11300239,,"Proposes the Prompt-Refactor-Verify framework explicitly to counter vibe-coding risks like accountability and instability, a direct oversight mechanism.","The widespread adoption of large language models (LLMs) in software development has given rise to vibe coding—a practice in which developers rely on conversational prompts to generate and refine code. While this approach accelerates prototyping and lowers barriers to entry, it also introduces risks including frequent and unstable code changes, reduced readability, and a lack of accountability. To address these challenges, this paper proposes the Prompt–Refactor– Verify (PRV) cycle, a lean, human-centered framework that adapts prompt engineering techniques to AI-assisted programming.",,
53,B4TVIG5Y,78,Toward a maturity model for AI-assisted software development: conceptual framework and research agenda,S. Tereci; E. Gökalp; A. Dikici,2026,conferencePaper,ieee,no,10.1109/IISEC69317.2026.11418422,,"Proposes an organizational maturity/governance model specifically for AI-assisted software development with governance, measurement, and human/culture pillars addressing the oversight gap.","While AI-assisted tools are rapidly entering the workplace, their adoption remains largely informal and unmanaged. This lack of oversight creates significant uncertainty regarding software quality, security, and overall team productivity. Traditional process models—most notably CMMI—were designed for deterministic workflows and struggle to account for the probabilistic nature of AI-generated code. This study addresses this governance gap by proposing the AASD-OMM (AI-Assisted Software Development Organizational Maturity Model). Applying a Design Science Research (DSR) methodology, we identify three critical deficiencies in current industry practices: the lack of standardized integration frameworks, the failure of traditional metrics to measure AI-augmented work, and the absence of holistic process models. The AASD-OMM framework structures organizational growth across five maturity levels and five key pillars: Process Integration, Governance & Ethics, Technical Infrastructure, Human & Culture, and Data & Measurement. The result is a practical, measurable pathway for AI adoption that remains compliant with ISO/IEC 33000 standards and upcoming regulatory requirements.",,
54,JCTP8VXP,78,ZORO: active rules for reliable vibe coding,Ma; Wang; Kung et al.,2026,preprint,arxiv,yes,,2604.15625,"ZORO makes rules active controls enforced during agent coding with in-situ human feedback, a concrete human-agent oversight mechanism with evaluation.","Rules files (e.g., AGENTS.md, CLAUDE.md) are the primary mechanism for human-agent alignment when developers vibe code. However, they remain passive: it is not immediately apparent when rules are being used or followed, or how to improve them. To transform rules from passive text into active controls, we introduce ZORO, an interactive interface that integrates directly with a coding agent and anchors rules to every step of the coding process. After an agent generates an initial plan, ZORO enriches the plan with rules, enforces the rules during implementation by requiring the agent prove that each rule was followed, and allows users to provide in-situ feedback when they are unsatisfied with a rule application to evolve the ruleset. A technical evaluation shows that coding agents follow rules more with ZORO than without. A user study demonstrates a change in people's behavior and cognitive strategies when rules are at the forefront of vibe coding. We discuss how making rules active in agentic systems unlocks broader opportunities for human-agent alignment in coding settings and beyond.",,
55,5ISRZX6M,78,Evaluating large language models for code review,Cihan; İçöz; Haratian et al.,2025,preprint,arxiv,no,,2505.20206,Empirically evaluates LLM code review reliability and proposes an explicit Human-in-the-loop LLM Code Review process to mitigate faulty AI-code outputs.,"Context: Code reviews are crucial for software quality. Recent AI advances have allowed large language models (LLMs) to review and fix code; now, there are tools that perform these reviews. However, their reliability and accuracy have not yet been systematically evaluated. Objective: This study compares different LLMs' performance in detecting code correctness and suggesting improvements. Method: We tested GPT4o and Gemini 2.0 Flash on 492 AI generated code blocks of varying correctness, along with 164 canonical code blocks from the HumanEval benchmark. To simulate the code review task objectively, we expected LLMs to assess code correctness and improve the code if needed. We ran experiments with different configurations and reported on the results. Results: With problem descriptions, GPT4o and Gemini 2.0 Flash correctly classified code correctness 68.50% and 63.89% of the time, respectively, and corrected the code 67.83% and 54.26% of the time for the 492 code blocks of varying correctness. Without problem descriptions, performance declined. The results for the 164 canonical code blocks differed, suggesting that performance depends on the type of code. Conclusion: LLM code reviews can help suggest improvements and assess correctness, but there is a risk of faulty outputs. We propose a process that involves humans, called the ""Human in the loop LLM Code Review"" to promote knowledge sharing while mitigating the risk of faulty outputs.",,
56,C88VGWMI,78,Constitutional spec-driven development: enforcing security by construction in AI-assisted code generation,Marri,2026,preprint,arxiv,yes,,2602.02584,Framework embedding machine-readable security constraints into AI-code specs with empirical 73% defect reduction—governance-by-construction for vibe coding.,"The proliferation of AI-assisted ""vibe coding"" enables rapid software development but introduces significant security risks, as Large Language Models (LLMs) prioritize functional correctness over security. We present Constitutional Spec-Driven Development, a methodology that embeds non-negotiable security principles into the specification layer, ensuring AI-generated code adheres to security requirements by construction rather than inspection. Our approach introduces a Constitution: a versioned, machine-readable document encoding security constraints derived from Common Weakness Enumeration (CWE)/MITRE Top 25 vulnerabilities and regulatory frameworks. We demonstrate the methodology through a banking microservices application, selected as a representative example domain due to its stringent regulatory and security requirements, implementing customer management, account operations, and transaction processing. The methodology itself is domain-agnostic. The implementation addresses 10 critical CWE vulnerabilities through constitutional constraints with full traceability from principles to code locations. Our case study shows that constitutional constraints reduce security defects by 73% compared to unconstrained AI generation while maintaining developer velocity. We contribute a formal framework for constitutional security, a complete development methodology, and empirical evidence that proactive security specification outperforms reactive security verification in AI-assisted development workflows.",,
57,SHK6KAX6,78,"AI builds, we analyze: an empirical study of AI-generated build code quality",Ghammam; Almukhtar,2026,preprint,arxiv,yes,,2601.16839,"Empirical study of AI-generated build code quality showing 61% merged with minimal human oversight, directly evidencing the oversight-gap problem.","The rapid adoption of AI coding agents for software development has raised important questions about the quality and maintainability of the code they produce. While prior studies have examined AI-generated source code, the impact of AI coding agents on build systems-a critical yet understudied component of the software lifecycle-remains largely unexplored. This data mining challenge focuses on AIDev, the first large-scale, openly available dataset capturing agent-authored pull requests (Agentic-PRs) from real-world GitHub repositories. Our paper leverages this dataset to investigate (RQ1) whether AI coding agents generate build code with quality issues (e.g., code smells), (RQ2) to what extent AI agents can eliminate code smells from build code, and (RQ3) to what extent Agentic-PRs are accepted by developers. We identified 364 maintainability and security-related build smells across varying severity levels, indicating that AI-generated build code can introduce quality issues-such as lack of error handling, and hardcoded paths or URLs-while also, in some cases, removing existing smells through refactorings (e.g., Pull Up Module and Externalize Properties). Notably, more than 61\% of Agentic-PRs are approved and merged with minimal human intervention. This dual impact underscores the need for future research on AI-aware build code quality assessment to systematically evaluate, guide, and govern AI-generated build systems code.",,
58,2Z4PZABF,78,Regulatory gap: why model risk management is structurally ill-suited to govern AI-driven code transformation,Alex Li,2026,journalArticle,ssrn,no,,,Systematic pillar-by-pillar analysis of whether model-risk-management and SDLC controls can govern AI-driven CODE transformation—directly on org governance of AI-generated code.,"Where prior work has observed that SR 11-7 ""strains"" under agentic AI, we contribute, to the best of our knowledge, the first systematic pillar-by-pillar / We consider whether overlapping regulatory frameworks—operational risk management, FFIEC IT governance, and existing software development lifecycle controls—fill / SR 11-7, OCC 2011-12, AI code transformation, COBOL modernization, governance framework, TPRM, transformation risk, functional equivalence",,
59,34ELRWJH,78,"The hidden legal minefield: how AI-assisted ""vibe coding"" amplifies software development risks and how technology can provide solutions",John Goodhue,2025,journalArticle,ssrn,no,,,Directly analyzes vibe-coding legal/regulatory risk outpacing infrastructure and proposes embedded governance solutions—squarely the policy-landscape core.,"coding."" / This paper argues that vibe coding generates a new category of risk-where technical capacity dramatically outpaces legal infrastructure-and proposes embedded / Vibe Coding, AI-Assisted Software Development, Regulatory Compliance, Entrepreneurship and AI, AI and Law, Technology Law and Policy, Legal Compliance",,
60,95CPB7CF,77,Beyond the 'diff': addressing agentic entropy in agentic software development,Casserini; Facchini; Ferrario,2026,preprint,arxiv,no,,2604.16323,Process-oriented explainability framework for agentic 'entropy' providing intent-level telemetry to keep human oversight substantive in vibe coding and pro dev review.,"As autonomous coding agents become deeply embedded in software development workflows, their high operational velocity introduces a critical oversight challenge: the accumulating divergence between agentic actions and architectural intent. We term this process agentic entropy: a systemic drift that traditional code diff-based and HCXAI methods fail to capture, as they address local outputs rather than global agentic behaviour. To close this gap, we propose a process-oriented explainability framework that exposes how agentic decisions unfold across time, tool calls, and architectural boundaries. Built around three pillars (conformity seeding, reasoning monitoring, and a causal graph interface) our approach provides intent-level telemetry that complements, rather than replaces, existing review practices. We demonstrate its relevance across two user profiles: lay users engaged in vibe coding, who gain structural visibility otherwise masked by functional success; and professional developers, who gain richer contextual grounding for code review without increased overhead. By treating cognitive drift as a first-class concern alongside code quality, our framework supports the minimum level of human comprehension required for agentic oversight to remain substantive.",,
61,X7EN6DXZ,77,Measuring and exploiting contextual bias in LLM-assisted security code review,Mitropoulos; Alexopoulos; Alexopoulos et al.,2026,preprint,arxiv,no,,2603.18740,Demonstrates exploitable framing bias in LLM security code review and explicitly stresses over-reliance risk and need for human oversight.,"Automated Code Review (ACR) systems integrating Large Language Models (LLMs) are increasingly adopted in software development workflows, ranging from interactive assistants to autonomous agents in CI/CD pipelines. In this paper, we study how LLM-based vulnerability detection in ACR is affected by the framing effect: the tendency to let the presentation of information override its semantic content in forming judgments. We examine whether adversaries can exploit this through contextual-bias injection: crafting PR metadata to bias ACR security judgments as a supply-chain attack vector against real-world ACR pipelines. To this end, we first conduct a large-scale exploratory study across 6 LLMs under five framing conditions, establishing the framing effect as a systematic and widespread phenomenon in LLM-based vulnerability detection, with bug-free framing producing the strongest effect. We then design a realistic and controlled experimental environment, evaluating 17 CVEs across 10 real-world projects, to assess the susceptibility of real-world ACR pipelines to vulnerability reintroduction attacks. We employ two attack strategies: a template-based attack inspired by prior related work, and a novel LLM-assisted iterative refinement attack. We find that template-based attacks are ineffective and may even backfire, as direct biasing attempts raise suspicions. Our iterative refinement attack, on the other hand, achieves 100% success, exploiting a fundamental asymmetry: attackers can iteratively refine attacks against a local clone of the review pipeline, while defenders have only one chance to detect them. Debiasing via metadata redaction and explicit instructions restores detection in all affected cases. Overall, our findings highlight the dangers of over-relying on ACR and stress the importance of human oversight and contributor trust in the development process.",,
62,BAWCBT9R,76,Bias in the loop: auditing LLM-as-a-judge for software engineering,Zhao; Esmaeili; Fard,2026,preprint,arxiv,yes,,2604.16790,Measurement-first audit of LLM-as-judge bias/reliability for code—directly examines a scalable oversight mechanism's limitations.,"Large Language Models are increasingly used as judges to evaluate code artifacts when exhaustive human review or executable test coverage is unavailable. LLM-judge is increasingly relevant in agentic software engineering workflows, where it can help rank candidate solutions and guide patch selection. While attractive for scale, current practice lacks a principled account of reliability and bias: repeated evaluations of the same case can disagree; small prompt edits can swing outcomes; and seemingly semantics-preserving, human-equivalent perturbations may elicit divergent verdicts. This paper studies LLM-as-a-Judge for code through a measurement-first lens. We analyze two pointwise judging regimes across code generation, code repair task, and test generation, and we systematically probe prompt-induced biases. Our study considers difficulty levels for repeated runs and controlled prompt interventions that isolate one presentation cue at a time, and it evaluates judges using consistency and sensitivity to bias. We find that judge decisions are highly sensitive to prompt biases even when the underlying code snippet is unchanged. Across all three tasks, several biases systematically shift preferences toward the option favored by the prompt, improving accuracy when that option aligns with the gold answer but substantially reducing it otherwise. In some settings, these effects are large enough to change task-level conclusions and alter relative model rankings. These findings show that reported judge performance may reflect prompt artifacts rather than stable assessment ability, posing a direct threat to the validity and reproducibility of code evaluation. We therefore argue that LLM-as-a-Judge studies should report bias sensitivity alongside accuracy and incorporate explicit controls to support more trustworthy model comparison in software engineering.",,
63,UIXCRBQX,76,"Safer builders, risky maintainers: a comparative study of breaking changes in human vs agentic PRs",Ferdous; Banik; Chowdhury et al.,2026,preprint,arxiv,yes,,2603.27524,Empirical comparison of breaking changes in agentic vs human PRs with a 'Confidence Trap' finding directly informing when to trigger stricter human review of AI code.,"AI coding agents are increasingly integrated into modern software engineering workflows, actively collaborating with human developers to create pull requests (PRs) in open-source repositories. Although coding agents improve developer productivity, they often generate code with more bugs and security issues than human-authored code. While human-authored PRs often break backward compatibility, leading to breaking changes, the potential for agentic PRs to introduce breaking changes remains underexplored. The goal of this paper is to help developers and researchers evaluate the reliability of AI-generated PRs by examining the frequency and task contexts in which AI agents introduce breaking changes. We conduct a comparative analysis of 7,191 agent-generated PRs with 1402 human-authored PRs from Python repositories in the AIDev dataset. We develop a tool that analyzes code changes in commits corresponding to the agentic PRs and leverages an abstract syntax tree (AST) based analysis to detect potential breaking changes. Our findings show that AI agents introduce fewer breaking changes overall than humans (3.45% vs. 7.40%) in code generation tasks. However, agents exhibit substantially higher risk during maintenance tasks, with refactoring and chore changes introducing breaking changes at rates of 6.72% and 9.35%, respectively. We also identify a ""Confidence Trap"" where highly confident agentic PRs still introduce breaking changes, indicating the need for stricter review during maintenance oriented changes regardless of reported confidence score.",,
64,5Q4G4CQB,76,AI-driven continuous integration: automating code review and deployment with LLMs,D. O. Salem; Y. Alahmed; R. Fnich et al.,2025,conferencePaper,"ieee,scopus,wos",no,10.1109/FMEC65595.2025.11119365,,Empirically examines LLM-automated code review in CI with explicit findings on the need for human supervision to manage risks at scale.,"The integration of a Large Language Models (LLMs) into Continuous Integration (CI) pipelines greatly enhances the efficiency of the software development process. AI-based CI improves code quality by decreasing integration failure rates by 30 % and deployment time by 40 %. These models help in identifying bugs, enforcing coding standards, writing unit tests, and optimizing release management. But AIdriven CI comes with risks of security vulnerabilities, model bias and the need for human supervision. This paper uses case studies, surveys, and interviews to explore the effects of AI on CI/CD pipelines and identifies the pros and cons. The results of this search show that the use of AI in CI improves effectiveness, but it needs better oversight to avoid risks and improve model performance.",,
65,5BAZZWHG,76,"""I'm not reading all of that"": understanding software engineers' level of cognitive engagement with agentic coding assistants",Catalan; Dizon; Monderin et al.,2026,preprint,arxiv,yes,,2603.14225,"Empirical study of declining cognitive engagement and over-reliance with agentic coding assistants, proposing cognitive-forcing oversight mechanisms.","Over-reliance on AI systems can undermine users' critical thinking and promote complacency, a risk intensified by the emergence of agentic AI systems that operate with minimal human involvement. In software engineering, agentic coding assistants (ACAs) are rapidly becoming embedded in everyday development workflows. Since software engineers (SEs) create systems deployed across diverse and high-stakes real-world contexts, these assistants must function not merely as autonomous task performers but as Tools for Thought that actively support human reasoning and sensemaking. We conducted a formative study examining software engineers' cognitive engagement and sensemaking processes when working with an ACA. Our findings reveal that cognitive engagement consistently declines as tasks progress, and that current ACA designs provide limited affordances for reflection, verification, and meaning-making. Based on these findings, we identify concrete design opportunities leveraging richer interaction modalities and cognitive-forcing mechanisms to sustain engagement and promote deeper thinking in AI-assisted programming.",,
66,NGIH5T4C,76,The evolving landscape of code review: leveraging artificial intelligence for enhanced software quality and developer productivity,Benjamin Batte,2025,journalArticle,ssrn,no,,,"Directly on AI-augmented code review, software quality, and human-oversight safeguards with firm case examples — central to scaling oversight of AI code.","This paper explores how artificial intelligence (AI) reshapes code review by enabling automation, improving accuracy, and promoting coding standardization / Case examples from leading tech firms underscore AI's transformative potential while emphasizing the need for ethical safeguards and human oversight.",,
67,R2QMVNXI,75,Coding with AI: from a reflection on industrial practices to future computer science and software engineering education,Chang; Shirazi; Cao et al.,2025,preprint,arxiv,no,,2512.23982,Industry-grounded qualitative study of vibe coding practitioners identifying code review as the shifting bottleneck and quality/security risks.,"Recent advances in large language models (LLMs) have introduced new paradigms in software development, including vibe coding, AI-assisted coding, and agentic coding, fundamentally reshaping how software is designed, implemented, and maintained. Prior research has primarily examined AI-based coding at the individual level or in educational settings, leaving industrial practitioners' perspectives underexplored. This paper addresses this gap by investigating how LLM coding tools are used in professional practice, the associated concerns and risks, and the resulting transformations in development workflows, with particular attention to implications for computing education. We conducted a qualitative analysis of 57 curated YouTube videos published between late 2024 and 2025, capturing reflections and experiences shared by practitioners. Following a filtering and quality assessment process, the selected sources were analyzed to compare LLM-based and traditional programming, identify emerging risks, and characterize evolving workflows. Our findings reveal definitions of AI-based coding practices, notable productivity gains, and lowered barriers to entry. Practitioners also report a shift in development bottlenecks toward code review and concerns regarding code quality, maintainability, security vulnerabilities, ethical issues, erosion of foundational problem-solving skills, and insufficient preparation of entry-level engineers. Building on these insights, we discuss implications for computer science and software engineering education and argue for curricular shifts toward problem-solving, architectural thinking, code review, and early project-based learning that integrates LLM tools. This study offers an industry-grounded perspective on AI-based coding and provides guidance for aligning educational practices with rapidly evolving professional realities.",,
