item_key,decision,category,title,authors,year,url,rationale,abstract,human,human_decision,chatgpt,chatgpt_decision,chatgpt_batch,gemini,gemini_decision,gemini_batch
B55ZBKG5,maybe,FinanceTrading,How good are LLMs in risk profiling?,Thorsten Hens; Trine Nordlie,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4810626,"Compares LLM performance to human experts in financial risk assessment, which has peripheral relevance to AI oversight and human-in-the-loop governance even though it's primarily a narrow finance application.","This study compares OpenAI’s ChatGPT-4 and Google’s Bard with bank experts in determining investors’ risk profiles. / However, the LLMs are not good in explaining the risk profiles.",FALSE,,FALSE,,,FALSE,,
SHMYHJEG,keep,,Mitigating the risks of generative AI in government through algorithmic governance,Mark Esposito; Terence Tse,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4811924,"Directly addresses governance frameworks for generative AI in public sector contexts, highly relevant to organizational risk management and oversight of AI systems.","The launch of the generative artificial intelligence (gen AI) application ChatGPT by OpenAI launched artificial intelligence into public discourse and / Algorithmic governance has traditionally been defined in the literature as governance by algorithms, or how artificial intelligence is used to make governance / Artificial Intelligence, Generative AI, Government, Public Sector, Algorithmic Governance, AI Ethics",FALSE,,FALSE,,,FALSE,,
B5J9E6J3,maybe,,Care for chatbots,Peter Wills,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4814272,"Appears to be a legal paper on liability for language models/chatbots, which is potentially relevant to the responsibility gap and legal accountability for AI systems.","on CanLII and at https://commons.allard.ubc.ca/ubclawreview/vol58/iss2/7/

---

Individuals will rely on language models (LMs) like ChatGPT / Finally, the paper identifies alternative approaches to liability for software propounded in the literature and suggests that these approaches",FALSE,,FALSE,,,FALSE,,
6V2LPJFP,maybe,,"Generative AI, work and risks in cultural and creative industries",Emmanuelle Walkowiak; Jason Potts,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4830265,"Covers AI risk, accountability, and professional standards in workplace adoption of generative AI — peripheral governance angle but no direct overlap with code generation or software oversight.","We identify this as a new class of risk related to privacy, cybersecurity, breach of professional standards, bias, misinformation, accountability, harm / This paper seeks to correct that oversight by developing an empirical measure of the separability of task-level risk due to AI-driven job transformation / Generative AI, AI risk, Synthetic Data, Technology exposure, ChatGPT, LLM, Work, Jobs, Technological change, Cultural and Creative Industries, technological",FALSE,,FALSE,,,FALSE,,
HEVG7ZSX,maybe,,Transformative potential of artificial intelligence in global health policy,Ridwan Islam Sifat,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4818322,"Touches AI governance and transparency in a policy context, which is peripherally relevant to AI governance frameworks, though the focus is on global health policy rather than AI-generated code risk or oversight.","ChatGPT is a promising AI technology that can revolutionize global health policy. / However, whether ChatGPT will significantly impact governance regarding efficiency improvements or transparency development within society is unclear.",FALSE,,TRUE,maybe,8,TRUE,keep,8
I5HM2M4C,discard,FinanceTrading,Geo-political events and financial markets: assessing the impact of Israel-hamas conflict on BRICS currency exchange rate using chat-GPT,Shubham Kakran,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4832593,Currency exchange rate analysis using ChatGPT as a data tool for financial market impact — pure finance/trading paper with no AI governance or oversight angle.,geo-political risk of the Israel-Hamas war among the BRICS currency exchange rate. / Further risk can be hedged by shifting the portfolio from severely impacted currency from BRL and ZAR to RUB as least impacted.,FALSE,,FALSE,,,FALSE,,
MX2TVGXR,maybe,,Enhancing resilience through generative artificial intelligence such as ChatGPT,Mallikarjuna Paramesha; Nitin Rane; Jayesh Rane,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4832533,"Touches organizational risk assessment and business continuity using generative AI, which is peripherally relevant to AI risk management frameworks, but appears focused on general resilience domains rather than AI-generated code oversight specifically.","The integration of generative artificial intelligence (AI) models, particularly ChatGPT, into resilience represents a significant advancement in how societies / For business continuity and crisis management, ChatGPT offers tools for risk assessment, crisis response, and ongoing learning, ensuring organizational / Resilience, Generative artificial intelligence, ChatGPT, Artificial intelligence, climate resilience, urban resilience, psychological resilience, environmental",FALSE,,FALSE,,,FALSE,,
6CGNGMR3,discard,OffTopicOther,Information extraction from ESG reports using nlp: a chatgpt comparison,Steven Katz; Yu Gu; Lanxin Jiang,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4836432,"NLP information extraction from ESG reports with no oversight, governance of AI systems, or code generation angle.","However, deriving actionable information from environmental, social, and governance (ESG) reports is challenging. / We find that while ChatGPT demonstrates higher specificity, it is less sensitive than a keyword search because ChatGPT is effective at evaluating text / ESG report, sustainability, ChatGPT, natural language processing, large language model, automation",FALSE,,FALSE,,,FALSE,,
4GMMNSNP,maybe,,An ethical study of generative AI from the actor-network theory perspective,Yuying Li; Jinchi Zhu,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4788314,Actor-network theory analysis of ChatGPT governance and ethics is peripheral but has potential transferable framing on AI governance and accountability structures relevant to oversight of AI-generated outputs.,"In order to tackle the security vulnerabilities linked to Generative Artificial Intelligence, we analyze ChatGPT as a case study within the framework of / objective is to explore the origins of the ethical issues that arise with Generative Artificial Intelligence and provide a particular perspective on the governance / Generative Artificial Intelligence , Actor-Network Theory , ChatGPT , Artificial Intelligence Ethics",FALSE,,FALSE,,,TRUE,maybe,4
922IZC39,discard,OffTopicOther,Chatgpt-based meta-analysis for evaluating the temporal and spatial characteristics of deoxynivalenol contamination in chinese wheat,Chuanzhi Jiang; Sen Li; Di Cai; Jin Ye; Qinghang Bao,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4844511,"Paper uses ChatGPT as a tool for food safety meta-analysis on wheat contamination — no governance, oversight, or code-generation angle.","The risk ranking by province was as follows: Hubei > Anhui > Jiangsu > Henan > Hebei > Sichuan > Shandong > Shanghai. / High-risk years included 2012, 2015, 2016, 2018, and 2021. / Wheat, DON, ChatGPT, Meta-analysis, temporal and spatial characteristics",FALSE,,FALSE,,,FALSE,,
6PJFHPYD,maybe,,A comprehensive review of security and privacy issues in large language models,Aleeza Suhel Inamdar; Sivaraman Eswaran,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4825655,"LLM security and privacy review with ethical considerations may include governance/risk management angles transferable to AI-generated code oversight, though it may focus on data privacy rather than code generation risks specifically.","In the rapidly evolving landscape of deep learning, the emergence of large language models (LLMs), such as ChatGPT, Meta’s LLaMa, and Google Bard, stands / Extending beyond technical aspects to encompass ethical considerations, it is of utmost importance to look into the potential privacy infringements and the risk",FALSE,,FALSE,,,FALSE,,
9DTT7U8B,discard,FinanceTrading,The risk sharing value of disclosure: a real-time market response approach to hedge climate change risk,Miao Liu; Yang Cao; Rachel Xi Zhang,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4847914,"Financial markets risk-sharing and hedging paper focused on climate, political, and pandemic risk — no AI governance, code, or oversight angle.","Risk sharing is a fundamental function of financial markets. / Additionally, we showcase the versatility of our approach in hedging other types of emerging risks: namely political risk and pandemic risk.",FALSE,,FALSE,,,FALSE,,
42IPKCCJ,maybe,,Why and how is the power of big tech increasing in the policy process? The case of generative AI,Shaleen Khanal; Hongzhou Zhang; Araz Taeihagh,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4803871,Examines big tech influence on AI governance policy processes — peripheral to AI risk management frameworks but could contain transferable insights on who shapes AI oversight regulation.,"The recent launch of ChatGPT and the rapid popularization of generative artificial intelligence (GenAI) act as a focusing event to further accelerate the / generative AI, governance, artificial intelligence, big tech, multiple streams framework,",FALSE,,FALSE,,,FALSE,,
688DNA88,discard,FinanceTrading,A first look at financial data analysis using ChatGPT-4o,Zifeng Feng; Bingxin Li; Feng Liu,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4849578,"Pure financial data analysis capability study with no governance, oversight, or risk management angle.","In this paper, we investigate ChatGPT-4o's capabilities in financial data analysis, including zero-shot prompting, time series analysis, risk and return / Despite these issues, our findings indicate that ChatGPT-4o has significant potential for real-world financial analysis. / ChatGPT, large language models, AI, finance research, academia, data analysis, stock return",FALSE,,FALSE,,,FALSE,,
SN2KHCWU,discard,FinanceTrading,Implement FRTB with generative ai models: a case study,James Zhan,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4832567,"Case study applying generative AI to implement FRTB (Fundamental Review of the Trading Book) financial risk calculations — narrowly focused on banking/trading regulation compliance without any governance, oversight, or AI risk management angle.","Since the release of ChatGPT in late 2022, generative AI models have found widespread application in content generation, coding, and other areas, including / By examining the calculation of interest rate delta risk under the FRTB Standardised Approach and benchmarking it against spreadsheet implementations, / FRTB, SA, SBM, generative AI Models, ChatGPT, Claude, Gemini, Llama",TRUE,discard,TRUE,maybe,3,TRUE,keep,2
9M2XHP42,discard,K12pedagogy,A practical approach to mitigate the dependencies of generative AI in engineering education,Tee Hui Teo,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4855880,"Paper is about curriculum strategies to reduce student dependency on LLMs in engineering education, with no governance or oversight angle.","While LMMs offer extensive opportunities for enhancing learning, they also risk undermining traditional teaching methods and fostering excessive reliance / To counter this, we have developed strategies within curriculum to reduce the dependencies on LMMs that are represented by ChatGPT-4o [1].",FALSE,,TRUE,discard,4,FALSE,,
JVEIAZGJ,discard,FinanceTrading,"Artificial intelligence, machine learning, deep learning, and blockchain in financial and banking services: a comprehensive review",Mallikarjuna Paramesha; Nitin Rane; Jayesh Rane,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4855893,Comprehensive review of AI/ML/blockchain in financial services with no governance or oversight angle relevant to AI-generated code risk management.,"of new technologies such as quantum computing in solving intricate computational problems in the financial sector, including portfolio optimization, risk / Artificial Intelligence, Deep Learning, Finance, Banking, Machine Learning, Forecasting, ChatGPT, Blockchain",FALSE,,FALSE,,,FALSE,,
Y32FECQX,discard,AISciWriting,Effectiveness of chatgpt-based rewriting of biomedical papers,Junying Tian; Xuecheng Yang; Xi Li,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4857547,"Paper is about using ChatGPT to rewrite academic paper introductions; the 'human oversight' mention is cursory refinement context, not a governance or scalable oversight framework.","The introduction sections of these papers were rewritten using ChatGPT, and the text quality before and after ChatGPT-based rewriting was evaluated using / The results underscore the potential of AI in enhancing text quality while also highlighting the need for human oversight and further refinement of AI / ChatGPT, AI-based rewriting, Biomedical paper, Text quality",FALSE,,TRUE,discard,9,FALSE,,
NWE2K6JZ,discard,OffTopicOther,Assessing chatgpt's efficacy in interpreting privacy policies,Alisha Pravasi; Sanchari Das,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4825426,"Paper is about using ChatGPT as a tool to help users understand privacy policies — no connection to AI code generation, oversight of AI systems, or governance frameworks relevant to the SLR.","In the contemporary digital landscape, the intricacy of privacy policies poses a considerable challenge, often leaving users confused and at risk of compromising / This position paper delves into the capabilities of generative AI, with a particular focus on ChatGPT-4, to aid users in deciphering, summarizing, and",FALSE,,FALSE,,,FALSE,,
4I8VR2A3,discard,FinanceTrading,Asset pricing impacts of ai in a model with heterogeneous risk aversion,Hamilton Galindo Gil,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4859670,"Pure asset pricing/finance theory paper examining AI's macroeconomic effects on portfolios and stock volatility, with no governance, oversight, or code-related angle.","Specifically, we show that AI changes the optimal portfolios of more and less risk-averse agents, increases the price-dividend ratio and stock volatility / , and reduces the interest rate, price of risk, and aggregate leverage compared to an economy without these two AI channels. / heterogeneous agents, risk aversion, Asset pricing, artiﬁcial intelligence, ChatGPT",FALSE,,FALSE,,,FALSE,,
AKIQWW7E,discard,FinanceTrading,Exploring the boundaries of financial statement fraud detection with large language models,Efstathios Kirkos; Georgia Boskou; Evrikleia Chatzipetrou; Eleftherios Tiakas; Charalampos Spathis,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4842962,"Narrow application of LLM to financial fraud detection with no governance, oversight, or AI risk management angle.","In this study, we examine the ability of an LLM, specifically ChatGPT-4, to identify fraudulent financial statements by analyzing text segments extracted / We focus particularly on the CEO’s letters to shareholders and sections discussing the company’s risk exposures.",FALSE,,FALSE,,,FALSE,,
PVCAQHKW,maybe,,When AI remembers too much: reinventing the right to be forgotten for the generative age,Cheng-chi (Kirin) Chang,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4868555,"GDPR/AI regulation angle is directly relevant to AI governance frameworks, but the focus on right-to-be-forgotten/memory rather than code generation or oversight of AI outputs makes it peripheral to the SLR's core concern.","Although existing frameworks like the European Union’s GDPR provide a foundation, continuous regulatory evolution through oversight bodies and industry / Generative AI, Right to be forgotten, GDPR, Personal data, Privacy, Data protection, AI memory, Self-determination, Ethical AI, AI Regulation, AI Ethics, ChatGPT",FALSE,,FALSE,,,FALSE,,
VIMEAI4P,maybe,,Adopting artificial intelligence,Emmanuelle Walkowiak,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4846793,"Title and abstract suggest organizational AI adoption with explicit mention of AI risk and LLMs, but the abstract contains only keywords with no actual content to assess relevance to oversight/governance of AI-generated code specifically.","Generative AI, AI risk, Technology exposure, ChatGPT, LLM, Work, Jobs, Technological change",FALSE,,FALSE,,,FALSE,,
G8BDSIKI,discard,K12pedagogy,Large language models in student assessment: comparing ChatGPT and human graders,Magnus Lundgren,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4874359,"Paper is about using LLMs to grade student work in higher education, with no governance or oversight angle transferable to AI-generated code risk management.","Results indicate that while GPT-4 aligns with human grading standards on mean scores, it exhibits a risk-averse grading pattern and its interrater reliability / large language model, GPT, grading, assessment, higher education, GPT-4, ChatGPT, AI, artificial intelligence",FALSE,,FALSE,,,FALSE,,
5AV6595H,maybe,,Application of generative ai (chatgpt as example) in risk management,Soumaya BIDAH; Khadija Akdim; Mehdi Zahid,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4841318,"Covers AI risk management in banking with quantitative assessment of ChatGPT capabilities, which may contain transferable governance/oversight insights, but appears focused on AI-as-tool for financial risk measurement rather than managing risk from AI-generated outputs.","which models based on artificial intelligence are used in banking services (more specifically GPT - Generative Pre-trained Transformer - models), and in risk / It also assesses the quantitative capabilities of ChatGPT through the analysis of two business cases, the first mainly related to risk measurement and / Generative AI, ChatGPT, OpenAI, Risk Management, Banking",FALSE,,FALSE,,,FALSE,,
WITPUR6J,discard,ClinicalNarrow,Retrieval augmented generation for 10 large language models and its generalizability in assessing medical fitness,Yu He Ke; Liyuan Jin; Kabilan Elangovan; Hairil Abdullah; Nan Liu,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4881310,Pure technical benchmark of RAG across LLMs for medical fitness assessment with no governance or oversight angle beyond a passing IRB note.,"Ten LLMs (GPT3.5, GPT4, GPT4-o, Llama2-7B, Llama2-13B, LLama2-70b, LLama3-8b, LLama3-70b, Gemini-1.5-Pro and Claude-3-Opus) were evaluated with 1) native / since the data were not collected through interaction or intervention with individuals specifically for research purposes, it was determined that IRB oversight",FALSE,,FALSE,,,TRUE,maybe,4
8MWACQQ9,discard,PureML,Topic-gpt: a novel risk identification method based on large language model,Xiaoqian Zhu; Hanlin Jin; Jianping Li; Yinghui Wang,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4885365,"Presents a new LLM-based topic modeling method for risk identification with no oversight, governance, or AI code generation angle.","Risk identification is considered to be the most essential stage of risk management. / Comparative analyses further indicate that Topic-GPT surpasses classical topic models and the general ChatGPT in both qualitative and quantitative dimensions / Risk identification, large language model, topic model, risk disclosure",FALSE,,FALSE,,,FALSE,,
SMI3J6A3,discard,OffTopicOther,How scary is the risk of automation? Evidence from a large scale survey experiment,Maria Alejandra Cattaneo; Christian Gschwendt; Stefan C. Wolter,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4883856,"Paper is about labor market risk from automation and willingness-to-pay for job security, not about AI governance, code generation oversight, or organizational risk management of AI systems.","However, emerging AI innovations like ChatGPT may reduce labor demand in high skilled occupations previously considered ""safe"" from automation. / be willing to pay for a reduced automation risk.",FALSE,,FALSE,,,FALSE,,
B8CRPZER,keep,,ChatGPT: challenges and legal issues in advanced conversational AI,Giovanni Maria Riccio; Amalia Diurni,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4884411,"Directly addresses AI governance, regulatory frameworks (including EU AI Act), transparency, and risk management for deployed conversational AI systems.","This paper analyzes ChatGPT, the first mass-deployed chatbot using Generative Pretrained Transformer (GPT) technology. / Authority and political debates have revealed the inadequacy of existing regulations, and call for more flexible regulation focusing on transparency, risk / chatgpt, genai, generative artificial intelligence, comparative law, artificial intelligence law, ai act, italy, data protection authority, artificial",FALSE,,FALSE,,,FALSE,,
PYE726KC,discard,FinanceTrading,Exploring the boundaries of financial statement fraud detection with large language models,Georgia Boskou; Evrikleia Chatzipetrou; Eleftherios Tiakas; Efstathios Kirkos; Charalambos Spathis,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4895081,"Narrow application of LLMs to financial fraud detection with no governance, oversight, or AI risk management angle.","In this study, we examine the ability of an LLM, specifically ChatGPT-4, to identify fraudulent financial statements by analyzing text segments extracted / We focus particularly on the CEO’s letters to shareholders and sections discussing the company’s risk exposures.",FALSE,,FALSE,,,FALSE,,
DLDTMJ4F,discard,FinanceTrading,Asset pricing impacts of AI in a model with heterogeneous risk aversion,Hamilton Galindo Gil,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4864074,"Pure asset pricing/financial economics model studying AI's macroeconomic effects on portfolios and markets; no governance, oversight, or code-related angle.","heterogeneous-agent model in which AI affects the economy through two key channels: higher expected output growth and volatility, and increased agent risk / model predicts that AI shifts optimal portfolios, raises the price-dividend ratio and stock market volatility, and lowers the interest rate, price of risk / risk aversion, asset pricing, artificial intelligence, ChatGPT, preference heterogeneity",FALSE,,FALSE,,,FALSE,,
TNYTQVXS,discard,FinanceTrading,Exploring the boundaries of financial statement fraud detection with large language models,Georgia Boskou; Evrikleia Chatzipetrou; Eleftherios Tiakas; Efstathios Kirkos; Charalambos Spathis,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4897041,"Narrow application of LLM to financial fraud detection with no AI governance, oversight, or code-generation angle.","In this study, we examine the ability of an LLM, specifically ChatGPT-4, to identify fraudulent financial statements by analyzing text segments extracted / We focus particularly on the CEO’s letters to shareholders and sections discussing the company’s risk exposures.",FALSE,,FALSE,,,FALSE,,
ZM55K5U3,maybe,,Who wants a robo-lawyer now?: on AI chatbots in China’s public legal services sector,Xin Dai,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4895906,"AI governance in public legal services touches on accountability and human oversight of AI decision-making in high-stakes contexts, potentially transferable to organizational AI risk management frameworks.","The recent popularization of generative artificial intelligence (GAI) applications, such as ChatGPT and other large language model (LLM)-powered chatbots / chatbots in China’s PLS sector could contribute not only to narrowing the gap in access to justice but also to strengthening the degree of legality in governance",FALSE,,FALSE,,,FALSE,,
Y93XG9H3,maybe,,"Perspective: achieving optimal synergy between economy and technology  exploring coexistence between humanity and artificial intelligence, mitigating AGI risks, and addressing the world debt dilemma",Ahmed Shalaby,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4903773,"Touches on AGI risk mitigation and ethical governance of AI at a macro level, which is peripherally relevant to AI risk management frameworks, though the focus appears broad and economic rather than specifically on code oversight or organizational AI governance.","This is including interviews with AI models like ChatGPT-4 and Gemini, cross-validation of insights, and comparison with expert reports. / transformation and citizen empowerment.Findings reveal significant synergy between humanity and AH, offering promising opportunities for growth and ethical governance",FALSE,,FALSE,,,FALSE,,
UMPZFP55,discard,FinanceTrading,Asset pricing impacts of ai in a model with heterogeneous risk aversion,Hamilton Galindo Gil,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4906991,Pure asset pricing/quantitative finance model examining AI's macroeconomic effects on portfolio optimization and stock volatility with no governance or oversight angle.,"Specifically, we show that AI changes the optimal portfolios of both more and less risk-averse agents, increases the price-dividend ratio and stock volatility / , and reduces the interest rate, price of risk, and aggregate leverage compared to an economy without these two AI channels. / Heterogeneous agents, risk aversion, Asset pricing, artificial intelligence, ChatGPT",FALSE,,FALSE,,,FALSE,,
342TH6TH,discard,FinanceTrading,Does ChatGPT provide better advice than robo-advisors?,Andreas Oehler; Matthias Horn,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4886298,"Pure fintech/portfolio management comparison with no governance, oversight, or AI risk management angle.",We develop three investor profiles with different risk attitudes and consult ChatGPT and 17 roboadvisors to recommend an investment portfolio. / Our findings reveal that ChatGPT provides better financial advice for one-time investments than robo-advisors. / ChatGPT Robo-advisor Fintech Portfolio management Financial advice,FALSE,,FALSE,,,FALSE,,
T55DBEGY,discard,AISciWriting,Can generative ai craft scale items? A mixed-method study on ai's capability to adapt and create new scales with recommendations for best practices,Mohammed Salah; Fadi Abdelfattah; Hussam Al Halbusi; Suaad Jassem; Muna Mohammed,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4931424,"Paper is about using generative AI to create psychometric survey scales, not about code generation oversight or AI governance frameworks.","Generative AI, Scale Development, ChatGPT, Mixed-Methods Analysis, Trust in AI, AI Self-Efficacy, AI Risk Perception",FALSE,,FALSE,,,FALSE,,
E9P5PLAH,discard,ClinicalNarrow,Bots in white coats: are llms the future of patient education? A multi-center cross-sectional analysis,Ughur Aghamaliyev; Javad Karimbayli; Athanasios Zamparas; Florian Bösch; Michael Thomas,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4929795,"Narrow clinical application evaluating LLM accuracy for patient education in surgery, with no governance, oversight, or risk management angle.","Material and Methods: This cross-sectional study evaluated ChatGPT-4o's audio-based responses to frequently asked questions ( / Material and Methods: This cross-sectional study evaluated ChatGPT-4o's audio-based responses to frequently asked questions ( / Notably, GPT-4o's responses, especially for minor surgeries, exhibited high accuracy with minimal risk of harm. / ChatGPT, AI, ChatGPT-4o, GPT-4o, Large language models, LLM, Patient education, surgery",FALSE,,FALSE,,,FALSE,,
XN74M6W3,discard,ClinicalNarrow,Artificial intelligence (chat GPT) ready to evaluate ecg in real life? Not yet!!!,Volkan Çamkıran; hüseyin Tunç; Batool Achmar; Tuğçe Simay Ürker; İlhan Kutlu,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4917164,"Narrow clinical AI evaluation of ECG interpretation with no governance, oversight framework, or transferable methodology angle.","Objective:This study aims at evaluating if ChatGPT based artificial intelligence (AI) models are effective in interpreting electrocardiograms (ECGs) and / normal (N) ECG patterns.Conclusions:ChatGPT based models have potential in ECG interpretation; however, they currently lack adequate reliability beyond oversight / ChatGPT, Artificial Intelligence (AI), Electrocardiogram (ECG), Diagnostic Accuracy, Machine Learning",FALSE,,FALSE,,,FALSE,,
7NHJZXE5,discard,FinanceTrading,How good are llms in risk profiling?,Thorsten Hens; Trine Nordlie,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4936373,"Narrow financial/banking application comparing LLMs to human experts for investor risk profiling, with no governance, oversight, or AI risk management angle relevant to the SLR.","This study compares OpenAI’s ChatGPT-4 and Google’s Bard with bank experts in determining investors’ risk profiles. / However, the LLMs are not good in explaining the risk profiles. / Large Language Models, ChatGPT, Bard, Risk Profiling",FALSE,,TRUE,maybe,5,FALSE,,
AVYS9K5C,keep,,Regulating under uncertainty: governance options for generative AI,Florence G'sell,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4918704,"Directly addresses AI governance frameworks and regulation of generative AI, including analysis of the EU AI Act and governance proposals — core to the SLR's oversight and risk management angle.","Although innovation in AI has occurred for many decades, the two years since the release of ChatGPT have been marked by an exponential rise / The purpose of this report is to canvas and analyze the existing array of proposals for governance of generative AI. / Generative AI, AI Regulation, AI Act, LLM, AI Governance",FALSE,,FALSE,,,FALSE,,
7QKUZJVK,discard,AISciWriting,Using chatgpt prompts to analyse texts,Richard Watson Todd; Neil Evan Jon Anthony Bowen,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4942125,"Paper is about using ChatGPT as a text analysis tool in applied linguistics research, with no governance, oversight, or code-related angle.","In applied linguistics, for example, an increasing number of studies have employed ChatGPT to analyse texts. / iterations of the same prompt can enhance precision and accuracy, and that follow-up prompts can generate a more exhaustive analysis, but there is also a risk",FALSE,,FALSE,,,FALSE,,
R6PKY8NV,discard,OffTopicOther,Gendering the new international convention on cybercrimes and new norms on artificial intelligence and emerging technologies,Rangita de Silva de Alwis,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4945578,"Focuses on gender equality in cybersecurity/AI governance international conventions, with no connection to AI-generated code, human oversight of code, or software risk management.","While the current normative foci overlook important aspects of gender equality, they also elide the rise of ChatGPT and other Generative AI and their impact / The primacy of gender equal participation in digital and cybersecurity governance should be a pillar of the new global digital order.",TRUE,discard,FALSE,keep,,FALSE,maybe,
M7SJQTQ5,discard,OffTopicOther,How scary is the risk of automation? Evidence from a large scale survey experiment,Christian Gschwendt; Maria Alejandra Cattaneo; Stefan C. Wolter,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4947653,"Paper is about labor market automation risk perception, not about AI-generated code oversight, governance, or organizational risk management of AI systems.","Technological advancements have historically reshaped labor markets; now, emerging AI innovations like ChatGPT may put previously ""safe"" occupations at / risk of automation.",FALSE,,FALSE,,,TRUE,maybe,3
7IQ4J2NY,maybe,,Deepfakes in court: how judges can proactively manage alleged AI-generated material in national security cases,Daniel W. Linna Jr.; Abhishek Dalal; Chongyang Gao; Paul W. Grimm; Maura R. Grossman,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4943841,"Addresses AI-generated content authenticity and judicial oversight mechanisms — transferable governance angle on managing AI output integrity, though focused on legal proceedings rather than code.",ChatGPT. GPT-4. Words that did not exist in the English lexicon just a few years ago are now commonplace. / We address the risk that fabricated evidence might be treated as genuine and genuine evidence as fake.,FALSE,,FALSE,,,FALSE,,
8GWTTD9E,maybe,,"Artificial intelligence: the human, the multiple, and the cartel",Mark Perkins,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4925940,"Discusses human control of AI and governance structures (cartel/multiple systems model) which is peripherally relevant to scalable oversight, though the abstract is too fragmented to assess depth.","properties that will ultimately guarantee human control of AI despite its rapid evolution as evidenced in particular by generative text engines (such as ChatGPT / Rather, AI is likely to develop as a multiple of large differentiated systems and even a cartel of the same, although there is a risk of an autonomous",FALSE,,FALSE,,,FALSE,,
2DBH5DZZ,maybe,,Law and technological innovations: three reasons to pause,Michael L. Smith,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4946479,Title and abstract suggest a law-and-technology analysis that likely covers AI risk assessment and governance; too vague to discard given generative AI and risk assessment keywords.,"law and technology, corpus linguistics, generative AI, artificial intelligence, ChatGPT, risk assessment",FALSE,,FALSE,,,TRUE,maybe,5
8GW8CIE9,discard,OffTopicOther,"""Having providers who are trained and have empathy is life-saving"": improving primary care communication through thematic analysis with chatgpt and human expertise",Michelle A. Stage; Mackenzie M. Creamer; Mollie A. Ruben,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4952367,"This is a qualitative health research paper using ChatGPT as a coding assistant for thematic analysis of LGBTQ+ primary care experiences; while it mentions human oversight of AI outputs, this is incidental to the methodology and not about AI governance, scalable oversight, or code generation risk ma","In the rapidly evolving field of healthcare research, Artificial Intelligence (AI) and conversational models like ChatGPT (Conversational Generative Pre-trained / While ChatGPT accelerated the coding process, human oversight remained crucial for ensuring data integrity and context accuracy. / ChatGPT, LGBTQ+ health, thematic analysis, patient experience, primary care",FALSE,,FALSE,,,FALSE,,
