item_key,decision,confidence,rationale,title,abstract,year,authors,item_type
MF2DHV5J,keep,medium,"Formal execution vocabulary for auditability, certification, and execution-time accountability addresses structural gap in how software orgs can verify AI-generated code behavior; conceptual but addresses real governance need",From explainability to system language: why AI accountability requires a formal execution vocabulary,"The paper positions system language as a prerequisite for auditability, certification, and liability in high-risk AI systems, and argues that / This paper is part of a series examining accountability, auditability, and operational viability in probabilistic and agentic AI systems. / AI accountability, AI governance, Explainable AI, Auditability, Non-deterministic AI systems, System-level responsibility, Decision authorization, Execution-time / accountability, High-risk AI systems, AI certification and liability",2026,Thomas Gessler,journalArticle
SDIMSRMI,keep,high,"Introduces a reproducible multi-dimensional evaluation framework with specific metrics for LLM-generated unit test quality, directly operationalizable for software organizations assessing and governing AI-generated code.",An evaluation framework for software unit tests generated by large language models,"Faulty software unit tests can lead to undetected bugs, undermining software quality, reliability, and security. While prior research has explored automated test generation, it often neglects the use of state-of-the-art LLMs, lacks differentiation between test and program faults, overlooks readability and maintainability metrics, and rarely leverages prompt engineering for optimization. To address these gaps, this paper introduces a comprehensive evaluation framework for assessing the quality of LLM-generated unit tests along three key dimensions: validity, effectiveness, and readability. The framework combines established metrics with a newly proposed metric for validity, encompassing Build & Successful Execution Rate and Unit Test Failure Evaluation (for validity), Line Coverage and Mutation Score (for effectiveness), and Flesch-Kincaid Grade Level, Gunning Fog Index, and Halstead Metrics (for readability). We apply this framework to unit tests generated by two leading LLMs-GPT40 and Llama 3-70B-8192-across 10 Java programs, also examining how prompt engineering affects test quality. Our findings provide a detailed picture of current LLMs' capabilities and limitations in unit test generation, offe ring actionable insights for researchers and practitioners aiming to integrate LLMs into software testing workflows. Source code is available at the following link - https://github.com/StevenTNguyen-Code/Quality-of-AI-Generated-Test-Cases",2025,S. T. Nguyen; S. Bharath; H. Homayouni,conferencePaper
6ABGGGRP,keep,high,"DORA empirical research with 5,000 practitioners establishing that AI amplifies organizational dysfunction and identifying platform quality and workflow clarity as operationalizable governance levers for AI-assisted software development.",State of AI-assisted software development,"In 2025, the central question for technology leaders is no longer if they should adopt AI, but how to realize its value. DORA’s research includes more than 100 hours of qualitative data and survey responses from nearly 5,000 technology professionals from around the world.1 The research reveals a critical truth: AI’s primary role in software development is that of an amplifier. It magnifies the strengths of highperforming organizations and the dysfunctions of struggling ones.  Executive summary  The greatest returns on AI investment come not from the tools themselves, but from a strategic focus on the underlying organizational system: the quality of the internal platform, the clarity of workflows, and the alignment of teams. Without this foundation, AI creates localized pockets of  productivity that are often lost to downstream chaos.",2025,DeBellis; Storer; Harvey; Beane; Edwards,document
FWKYVQPD,keep,high,"Proposes and analyzes an actionable three-pillar framework (hybrid integration, human oversight, context-aware deployment) for responsible vibe coding adoption including security and trust implications.",Vibe coding and AI-led conversational programming: emerging trends in software development,"AI-assisted programming, evaluates its performance, investigates cognitive, trust, and security implications, and proposes a framework for responsible adoption / A three-pillar framework is proposed-hybrid integration, human oversight, and context-aware deployment-to guide responsible adoption. / Vibe Coding, Conversational Programming, Artificial Intelligence, Software Development Paradigms, Human-AI Collaboration, Code Quality, Responsible AI",2025,Irfan Samsyudin,journalArticle
AIFSXVU8,keep,medium,System-level responsible AI engineering keynote addressing governance methods and platforms for compound AI systems and LLM agents — directly applicable to software engineering organization context,Responsible AI engineering from a data perspective (keynote),"The rapid advancements in AI, particularly with the emergence of large language models (LLMs) and their diverse applications, have attracted huge global interest and raised significant concerns on responsible AI and AI safety. While LLMs are impressive examples of AI models, it is the compound AI systems, which integrate these models with other key components for functionality and quality/risk control, that are ultimately deployed and have real-world impact. These AI systems, especially autonomous LLM agents and those involving multi-agent interacting, require system-level engineering to ensure responsible AI and AI safety. On the other hand, data is the lifeblood of AI systems, cross-cutting different components in AI systems. There are various challenges associated with the data collected, used, and generated by AI systems, as well as their engineering processes. In this talk, I will introduce a responsible AI engineering approach to address system-level responsible AI challenges. This includes engineering/governance methods, practices, tools, and platforms to ensure responsible AI and AI safety. Specially, I will focus on how the responsible AI engineering approach tackles data challenges within the context of responsible AI.",2024,Lu,conferencePaper
Z6RB7NDA,keep,high,First systematic threat taxonomy and defensive methodology for MCP-based agentic AI tool integration in software supply chains — directly operationalizable for organizations securing AI agent tool access,Secure tool integration patterns for agentic AI systems: a software supply chain approach to model context protocol governance,"This paper presents the first systematic threat taxonomy and defensive methodology for MCP-based tool integration in agentic AI systems. / Model Context Protocol, software supply chain security, agentic AI systems, tool integration security, prompt injection defense, capability provenance, / runtime governance, MCP threat taxonomy, artificial intelligence",2026,Vivek Acharya,journalArticle
I6FZ5GD2,keep,high,"Visual analytics system for examining LLM coding agent behaviors across code-level, process-level, and LLM-level analysis directly supports human oversight of AI code generation; mechanism is immediately applicable despite ML competition framing",Illuminating LLM coding agents: visual analytics for deeper understanding and enhancement,"Coding agents powered by large language models (LLMs) have gained traction for automating code generation through iterative problem-solving with minimal human involvement. Despite the emergence of various frameworks, e.g., LangChain, AutoML, and AIDE, ML scientists still struggle to effectively review and adjust the agents' coding process. The current approach of manually inspecting individual outputs is inefficient, making it difficult to track code evolution, compare coding iterations, and identify improvement opportunities. To address this challenge, we introduce a visual analytics system designed to enhance the examination of coding agent behaviors. Focusing on the AIDE framework, our system supports comparative analysis across three levels: (1) Code-Level Analysis, which reveals how the agent debugs and refines its code over iterations; (2) Process-Level Analysis, which contrasts different solution-seeking processes explored by the agent; and (3) LLM-Level Analysis, which highlights variations in coding behavior across different LLMs. By integrating these perspectives, our system enables ML scientists to gain a structured understanding of agent behaviors, facilitating more effective debugging and prompt engineering. Through case studies using coding agents to tackle popular Kaggle competitions, we demonstrate how our system provides valuable insights into the iterative coding process.",2025,Wang; Chen; Pan; Yeh; Das,preprint
3HVIJ28X,keep,high,"Benchmark evaluating LLM agents for end-to-end automated web testing identifies detection bottlenecks and completeness gaps in AI-generated code verification, directly operationalizing quality assurance needs for vibe-coded web applications.",WebTestBench: evaluating computer-use agents towards end-to-end automated web testing,"The emergence of Large Language Models (LLMs) has catalyzed a paradigm shift in programming, giving rise to ""vibe coding"", where users can build complete projects and even control computers using natural language instructions. This paradigm has driven automated webpage development, but it introduces a new requirement about how to automatically verify whether the web functionalities are reliably implemented. Existing works struggle to adapt, relying on static visual similarity or predefined checklists that constrain their utility in open-ended environments. Furthermore, they overlook a vital aspect of software quality, namely latent logical constraints. To address these gaps, we introduce WebTestBench, a benchmark for evaluating end-to-end automated web testing. WebTestBench encompasses comprehensive dimensions across diverse web application categories. We decompose the testing process into two cascaded sub-tasks, checklist generation and defect detection, and propose WebTester, a baseline framework for this task. Evaluating popular LLMs with WebTester reveals severe challenges, including insufficient test completeness, detection bottlenecks, and long-horizon interaction unreliability. These findings expose a substantial gap between current computer-use agent capabilities and industrial-grade deployment demands. We hope that WebTestBench provides valuable insights and guidance for advancing end-to-end automated web testing. Our dataset and code are available at https://github.com/friedrichor/WebTestBench.",2026,Kong; Zhang; Yue; Sun; Tian,preprint
8BLIERUP,keep,high,DELIA's deterministic post-processing constraints with cryptographic auditability and reproducibility guarantees are model-agnostic and structurally applicable to code governance pipelines; mechanism transfers without domain re-derivation,Deterministic AI governance via post-processing constraint layers: the DELIA architecture,"Unlike probabilistic oversight approaches, DELIA guarantees reproducibility, auditability, and sub-second governance decisions through a flat-constraint / We evaluate its applicability in finance, healthcare, and legal domains, and position it within emerging regulatory landscapes including the EU AI Act / AI Governance, Deterministic Systems, Constraint Satisfaction, AI Alignment, Regulatory Compliance, Audit Trails, Post-Processing Architecture, Model-Agnostic / AI, Formal Verification, Enterprise AI Compliance, Cryptographic Auditability, Multi-Agent Alignment",2025,Edward Meyman,journalArticle
9HPPSFM6,keep,medium,"Empirical survey of 41 human oversight policies for government algorithms identifying two structural design flaws, directly transferable to evaluating and designing oversight mechanisms for AI code review at scale.",The flaws of policies requiring human oversight of government algorithms,"One mechanism that has become a centerpiece of global efforts to regulate government algorithms is to require human oversight of algorithmic decisions. / In this article, I survey 41 policies that prescribe human oversight of government algorithms and find that they suffer from two significant flaws. / Human oversight; Human in the loop; Algorithmic governance; Automated decision-making; Artificial intelligence; AI regulation&",2021,Ben Green,journalArticle
YJECSBHW,keep,high,"Proposes an operationalizable DSL mechanism for defining and enforcing governance policies over AI-agent collaboration in software projects, directly addressing AI oversight scaling in software development.",Towards automated governance: a DSL for human-agent collaboration in software projects,"The stakeholders involved in software development are becoming increasingly diverse, with both human contributors from varied backgrounds and AI-powered agents collaborating together in the process. This situation presents unique governance challenges, particularly in Open-Source Software (OSS) projects, where explicit policies are often lacking or unclear. This paper presents the vision and foundational concepts for a novel Domain-Specific Language (DSL) designed to define and enforce rich governance policies in systems involving diverse stakeholders, including agents. This DSL offers a pathway towards more robust, adaptable, and ultimately automated governance, paving the way for more effective collaboration in software projects, especially OSS ones.",2025,A. Ait; G. Jouneaux; J. L. Cánovas Izquierdo; J. Cabot,conferencePaper
EFJ9USXZ,keep,high,Bidirectional comment-level mechanism for developer-LLM code generation grounding with empirical user study showing 16.7% faster completion and 10.5% task success improvement — directly operationalizable for developer oversight of LLM-generated code,Enhancing code generation via bidirectional comment-level mutual grounding,"Large Language Models (LLMs) have demonstrated unprecedented capability in code generation. However, LLM-generated code is still plagued with a wide range of functional errors, especially for complex programming tasks that LLMs have not seen before. Recent studies have shown that developers often struggle with inspecting and fixing incorrect code generated by LLMs, diminishing their productivity and trust in LLM-based code generation. Inspired by the mutual grounding theory in communication, we propose an interactive approach that leverages code comments as a medium for developers and LLMs to establish a shared understanding. Our approach facilitates iterative grounding by interleaving code generation, inline comment generation, and contextualized user feedback through editable comments to align generated code with developer intent. We evaluated our approach on two popular benchmarks and demonstrated that our approach significantly improved multiple state-of-the-art LLMs, e.g., 17.1% pass@1 improvement for code-davinci-002 on HumanEval. Furthermore, we conducted a user study with 12 participants in comparison to two baselines: (1) interacting with GitHub Copilot, and (2) interacting with a multi-step code generation paradigm called Multi-Turn Program Synthesis. Participants completed the given programming tasks 16.7% faster and with 10.5% improvement in task success rate when using our approach. Both results show that interactively refining code comments enables the collaborative establishment of mutual grounding, leading to more accurate code generation and higher developer confidence.",2025,Y. Di; T. Zhang,conferencePaper
3DPZK2P7,keep,high,"Presents a deployable pre-execution AI governance architecture with enforceable human oversight conditions and immutable audit records aligned to EU AI Act Article 14 and NIST RMF, directly applicable to AI code deployment governance.",AI governance as safety management: a pre execution control architecture for AI safety and autonomous systems,"The architecture incorporates enforceable human oversight conditions, immutable audit records / The architecture incorporates enforceable human oversight conditions, immutable audit records / from passive oversight to active control. / AI governance, safety management systems, execution risk, pre-execution control, EU AI Act, NIST AI RMF, authorization architecture, human oversight, EU / AI Act",2026,Dr. Bryan McCaa,journalArticle
8EEKFTQL,keep,high,Characterizes verification bias in human supervision of machines—where belief updates occur only when the human acts on a task—providing a directly applicable mechanism for understanding oversight failures in AI code review.,Is your machine better than you? You may never know,"Artificial intelligence systems are increasingly demonstrating their capacity to make better predictions than human experts. Yet recent studies suggest that professionals sometimes doubt the quality of these systems and overrule machine-based prescriptions. This paper explores the extent to which a decision maker (DM) supervising a machine to make high-stakes decisions can properly assess whether the machine produces better recommendations. To that end, we study a setup in which a machine performs repeated decision tasks (e.g., whether to perform a biopsy) under the DM’s supervision. Because stakes are high, the DM primarily focuses on making the best choice for the task at hand. Nonetheless, as the DM observes the correctness of the machine’s prescriptions across tasks, the DM updates the DM’s belief about the machine. However, the DM is subject to a so-called verification bias such that the DM verifies the machine’s correctness and updates the DM’s belief accordingly only if the DM ultimately decides to act on the task. In this setup, we characterize the evolution of the DM’s belief and overruling decisions over time. We identify situations under which the DM hesitates forever whether the machine is better; that is, the DM never fully ignores but regularly overrules it. Moreover, the DM sometimes wrongly believes with positive probability that the machine is better. We fully characterize the conditions under which these learning failures occur and explore how mistrusting the machine affects them. These findings provide a novel explanation for human–machine complementarity and suggest guidelines on the decision to fully adopt or reject a machine. © 2023 INFORMS",2023,de Véricourt; Gurkan,journalArticle
W6UA7CNM,keep,high,MLR synthesizing AI software engineering strengths and weaknesses explicitly identifies security risks from AI-generated code requiring human oversight as a governance imperative.,"Current AI-based software engineering, strengths and weaknesses - results from a MLR","This study conducts a Multivocal Literature Review (MLR) to explore the strengths and weaknesses of Artificial Intelligence (AI) in software engineering, focusing on four key areas: reliability, sustainability, security and convenience. AI tools improve efficiency and automation, but they also have challenges such as bias, non-determinism and model transparency. There are threats to the sustainability of AI in software engineering, such as high computational energy demands and legal constraints on proprietary and copyrighted data. Security risks can also emerge from AI-generated code, as models may produce insecure implementations that require human oversight to ensure robustness. Even with these challenges, AI seems to be gaining in popularity due to its convenience, enabling developers to streamline workflows and enhance their productivity. This study explores these strengths and weaknesses and provides insights into the future of AI in software engineering. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",2026,Walshe; Maloney; Grant; Conde; Marks,conferencePaper
3JHLWGV3,keep,high,Explicitly systems-engineering-driven framework with software tooling and continuous monitoring that gathers evidence from automated tests; mechanism transfers directly to AI code assurance without domain re-derivation,Justified evidence collection for argument-based AI fairness assurance,"It is well recognised that ensuring fair AI systems is a complex sociotechnical challenge, which requires careful deliberation and continuous oversight across all stages of a system's lifecycle, from defining requirements to model deployment and deprovisioning. Dynamic argument-based assurance cases, which present structured arguments supported by evidence, have emerged as a systematic approach to evaluating and mitigating safety risks and hazards in AI-enabled system development and have also been extended to deal with broader normative goals such as fairness and explainability. This paper introduces a systems-engineering-driven framework, supported by software tooling, to operationalise a dynamic approach to argument-based assurance in two stages. In the first stage, during the requirements planning phase, a multi-disciplinary and multi-stakeholder team define goals and claims to be established (and evidenced) by conducting a comprehensive fairness governance process. In the second stage, a continuous monitoring interface gathers evidence from existing artefacts (e.g. metrics from automated tests), such as model, data, and use case documentation, to support these arguments dynamically. The framework's effectiveness is demonstrated through an illustrative case study in finance, with a focus on supporting fairness-related arguments.  © 2025 Copyright held by the owner/author(s). Publication rights licensed to ACM.",2025,Sabuncuoglu; Burr; Maple,conferencePaper
ZKKBHG9W,keep,medium,"Artefact-based transparency framework with YAML schema, Transparency Scorecard, and Registry provides operationalizable assessment methodology explicitly inspired by software development principles",Evaluating transparency in artificial intelligence systems with the Z-inspection® process for trustworthy assessment,"As artificial i ntelligence (AI) s ystems b ecome increasingly embedded in socio-technical contexts, ensuring transparency is both a regulatory imperative and a trust-building necessity. This paper addresses the challenge of operationalising transparency achievement and measurement by adapting the ZInspection ${ }^{(R)}$ process. Inspired by software development principles and transparency-related regulatory requirements, it proposes an artefact-based framework comprising four interlinked components: the Stakeholder Transparency Requirements Catalogue, the Transparency Artefact Registry (TAR), a YAML ${ }^{\text{TM}}$ Metadata Schema, and the Transparency Scorecard and Backlog. These components enable a systematic capture, assessment, and benchmarking of transparency artefacts during AI system development. By distinguishing between subject artefacts (e.g., model cards, explainability visualisations) and evaluation artefacts linked to stakeholder-defined $r$ equirements, $t$ he f ramework e nsures traceability, comparability, and contextual relevance. This contribution helps the practical integration of transparency into AI development and governance, offering a r eplicable m odel f or future socio-technical AI systems.",2025,G. Karanxha; P. Ofem,conferencePaper
2CBE8X9X,keep,high,"570 controlled experiments evaluating prompt engineering as a governance control mechanism for LLM-assisted operations provides empirically grounded, directly actionable findings for software teams deploying AI",Prompting as governance: behavioral gaps and control system failures in AI-assisted infrastructure operations,"This paper examines whether prompt engineering can function as a reliable governance control mechanism in AI-assisted infrastructure operations. / Through 570 controlled experiments using GPT-4 and Claude Sonnet 4 across 90 infrastructure scenarios, we evaluate governance quality under four prompting / infrastructure automation, large language models, governance controls, human factors, prompt engineering, operational reliability, control systems",2026,Piyoosh Rai,journalArticle
A9N5BYY9,keep,medium,"Directly evaluates LLM integration into code review workflows with case studies and experimental data on quality and security impact, providing actionable best-practice guidance for software teams.",AI-powered code reviews: leveraging large language models,"As the complexity and volume of software development continue to grow, the need for efficient and thorough code review processes becomes increasingly critical. This paper explores the integration of Large Language Models (LLMs), such as ChatGPT and Bard, into code review workflows to enhance software quality and security. By leveraging the natural language processing capabilities of LLMs, we aim to streamline the identification of code issues, detect potential security vulnerabilities, and provide developers with actionable feedback. Through a comprehensive analysis of current literature, case studies, and experimental data, this study evaluates the impact of AI-assisted code reviews on developer productivity and code quality. We also address the challenges and limitations of relying on LLMs, including context comprehension and potential biases. Our findings suggest that while LLMs offer significant advantages in automating and improving code reviews, they should complement rather than replace human expertise. This paper provides insights into best practices for integrating LLMs into development workflows, ultimately contributing to more robust and secure software systems.",2024,M. S. S. Chowdhury; M. N. U. R. Chowdhury; F. F. Neha; A. Haque,conferencePaper
DLQVQZ5K,keep,medium,"Systematic literature review synthesizing novel AI governance pathways across responsibility, transparency, and accountability — provides curated operational frameworks directly usable by software engineering organizations",Redefining responsibility: novel paths in ai governance,"The need to put ethical principles into practice through AI governance (AIG) is increasing in response to the explosion of papers outlining organizations / research directions by showcasing the state-of-the-art in AI governance. / AI Governance, AI Regulation, Responsible AI, AI Transparency, AI Ethics, Systematic Literature Review (SLR)",2025,Sivadeep Katangoori; Anudeep Katangoori,journalArticle
JFFKDXG8,keep,medium,"Grounded theory study of vibe coding identifies a spectrum of oversight behaviors (no code inspection to careful review), trust calibration patterns, and stochastic debugging strategies that are actionable for tool design and developer training.",Building software by rolling the dice: a qualitative study of vibe coding,"Large language models (LLMs) are reshaping software engineering by enabling ""vibe coding,"" in which developers build software primarily through prompts rather than writing code. Although widely publicized as a productivity breakthrough, little is known about how practitioners actually define and engage in these practices. To shed light on this emerging phenomenon, we conducted a grounded theory study of 20 vibe-coding videos, including 7 live-streamed coding sessions (about 16 hours, 254 prompts) and 13 opinion videos (about 5 hours), supported by additional analysis of activity durations and prompt intents. Our findings reveal a spectrum of behaviors: some vibe coders rely almost entirely on AI without inspecting code, while others examine and adapt generated outputs. Across approaches, all must contend with the stochastic nature of generation, with debugging and refinement often described as ""rolling the dice."" Further, divergent mental models, shaped by vibe coders' expertise and reliance on AI, influence prompting strategies, evaluation practices, and levels of trust. These findings open new directions for research on the future of software engineering and point to practical opportunities for tool design and education.",2025,Chou; Jiang; Chen; Weng; Jackson,preprint
TX3W8A55,keep,medium,Identifies operationalisable human oversight governance gap for agentic AI under the EU AI Act — relevant to organizations governing AI coding agents but framed as regulatory analysis rather than direct operational framework,Agentic AI: an EU AI act paradigm shift?,"The fast development of AI has culminated in Agentic AI systems, which are autonomous entities capable of complex reasoning, goal decomposition, and proactive / , and highlight the governance gap in operationalising effective Human Oversight.",2025,Yasaman Yousefi; Marco Billi; Antonino Rotolo,journalArticle
QZNURHZQ,keep,high,Identifies the evaluation paradox where agentic AI adoption causes cognitive atrophy in human oversight capability — directly operationalizable as a governance risk signal for software teams adopting agentic coding tools.,The evaluation paradox: cognitive atrophy and the erosion of human oversight in agentic workflows,"As organizations transition from Generative AI as a tool to autonomous ""coworkers"" (Agentic AI), a structural socio-technical risk emerges-the Evaluation / Cognitive Science, Management of Innovation Agentic AI, Skill Atrophy, Cognitive Load Theory, Human-AI (Machine) Collaboration, Technical Telemetry, Business",2026,Alexey Ermakov,journalArticle
WCXEVQ57,keep,high,"Presents a deployable multi-agent code review framework with empirical evaluation of issue resolution speed, developer trust, and CI/CD pipeline integration.",Real-time adaptive code analysis with a self-learning multi-agent framework: a retrieval-augmented reinforcement learning approach,"Large Language Models (LLMs) have transformed code generation, debugging, and security analysis, yet their application in real-time, comprehensive code review remains under explored. This paper introduces a novel real-time multiagent framework that leverages adaptive reinforcement learning, transformer-based code embeddings, and FAISSpowered memory to deliver dynamic, context-aware code reviews within a VS Code extension. By distributing tasks among specialized agents for code review, bug detection, security analysis, and performance optimization, the system offers immediate and explainable feedback that evolves with individual developer practices. Experimental evaluations on Python code snippets demonstrate that our approach enhances issue resolution speed, minimizes redundant feedback, and fosters developer trust through transparent, actionable insights. The modular architecture and robust inter-agent collaboration facilitate seamless integration into modern development workflows, including IDE plugins and CI/CD pipelines. This work advances the state-of-the-art in AIdriven software engineering and paves the way for scalable, adaptive, and secure code analysis. © 2025 IEEE.",2025,Sharanarthi; Polineni,conferencePaper
NPW47DN2,keep,high,Enterprise multi-agent frontend code generation framework with explicit HITL governance points and empirical security and code-review quality benchmarks directly operationalizes AI code oversight at scale.,"Beyond prototyping: autonomous, enterprise-grade frontend development from pixel to production via a specialized multi-agent framework","We present AI4UI, a framework of autonomous front-end development agents purpose-built to meet the rigorous requirements of enterprise-grade application delivery. Unlike general-purpose code assistants designed for rapid prototyping, AI4UI focuses on production readiness delivering secure, scalable, compliant, and maintainable UI code integrated seamlessly into enterprise workflows. AI4UI operates with targeted human-in-the-loop involvement: at the design stage, developers embed a Gen-AI-friendly grammar into Figma prototypes to encode requirements for precise interpretation; and at the post processing stage, domain experts refine outputs for nuanced design adjustments, domain-specific optimizations, and compliance needs. Between these stages, AI4UI runs fully autonomously, converting designs into engineering-ready UI code. Technical contributions include a Figma grammar for autonomous interpretation, domain-aware knowledge graphs, a secure abstract/package code integration strategy, expertise driven architecture templates, and a change-oriented workflow coordinated by specialized agent roles. In large-scale benchmarks against industry baselines and leading competitor systems, AI4UI achieved 97.24% platform compatibility, 87.10% compilation success, 86.98% security compliance, 78.00% feature implementation success, 73.50% code-review quality, and 73.36% UI/UX consistency. In blind preference studies with 200 expert evaluators, AI4UI emerged as one of the leaders demonstrating strong competitive standing among leading solutions. Operating asynchronously, AI4UI generates thousands of validated UI screens in weeks rather than months, compressing delivery timeline",2025,Ganesaraja; N; AP; Rathinasamy; Amancharla,preprint
XZEHQYNZ,keep,high,"Directly proposes HITL architecture guidelines and accountability frameworks for agentic AI in software engineering under EU AI Act, with explicit identification of implementation gaps and a concrete research roadmap.",Architecting trust: designing human oversight and accountability for AI-driven software engineering under the EU AI act,"The dawn of AI-driven Software Engineering, particularly with the emergence of Agentic AI systems, promises transformative advancements in software development. However, this shift occurs amidst a growing global emphasis on responsible AI governance, exemplified by stringent regulations like the EU AI Act, which mandate robust human oversight, transparency, and accountability. A critical barrier to the trustworthy and compliant adoption of Agentic AI in SE is the inherent unpredictability and non-determinism of these systems. This creates significant loopholes and practical implementation gaps in current human oversight and accountability mechanisms, making it challenging to meet the stringent, yet often ambiguous, requirements set forth by the EU AI Act. Existing research often lacks concrete solutions for operationalizing human control over such autonomous and evolving AI. This paper presents a foundational step in a long-term research endeavor to bridge this critical gap. We make three key contributions: (1) We systematically identify and categorize the specific challenges and practical implementation gaps that arise in designing Human Oversight and Accountability for Agentic AI in SE under the EU AI Act. (2) We critically analyze the current state of research in Human-in-the-Loop and AI governance, pinpointing the open research areas and knowledge gaps hindering effective compliance. (3) We propose a comprehensive research road map outlining principled conceptual frameworks and actionable design guidelines for HITL architectures, aimed at developing trustworthy, compliant, and effectively controlled Agentic AI systems in SE that align with EU AI Act mandates.",2025,M. Tuape; Y. Gabrielmichael; J. Kasurinen,conferencePaper
72W6R4JG,keep,high,Feedback-based automated verification framework for vibe-coded systems introduces Functional Constraints Logic for runtime failure detection without human inspection — directly operationalizable for governing AI-generated code correctness.,"Vibe-coding: feedback-based automated verification with no human code inspection, a feasibility study","Vibe coding inherently assumes iterative refinement of LLM-generated code through feedback loops. While effective for conventional software tasks, its reliability in runtime-adaptive systems is unclear -- especially when generated code is not manually inspected. This paper studies feedback-based automated verification of LLM-generated adaptation managers in Collective Adaptive Systems (CAS). We focus on the key challenges of verification in the loop: how to detect failures of generated code at runtime and how to report them precisely enough for an LLM to fix them. We combine the adaptation loop with a vibe-coding feedback loop where correctness is checked against (i) generic architectural constraints and (ii) functional constraints formalized in Functional Constraints Logic (FCL), a novel first-order temporal logic over potentially finite traces. Conducting the Dragon Hunt CAS case study, we show that fine-grained constraint violations provide actionable feedback that typically yields a valid adaptation manager within a few iterations, while simple coarse metric-based feedback often stalls. Our findings suggest that feedback precision is the dominant factor for reliable vibe coding in systems designed by domain experts with no programming skills, thereby obviating the need for human code inspection.",2026,Töpfer; Plášil; Bureš; Hnětynka,preprint
9PSY7JAR,keep,medium,"Systems thinking model explaining structural origins of automation bias, algorithm aversion, and over-reliance in AI-assisted organizations — mechanisms generalize to code review oversight per Tier 2 human oversight frameworks.",Hooked on artificial agents: a systems thinking perspective,"Following recent technological developments in the artificial intelligence space, artificial agents are increasingly taking over organizational tasks typically reserved for humans. Studies have shown that humans respond differently to this, with some being appreciative of their advice (algorithm appreciation), others being averse toward them (algorithm aversion), and others still fully relinquishing control to artificial agents without adequate oversight (automation bias). Using systems thinking, we analyze the existing literature on these phenomena and develop a conceptual model that provides an underlying structural explanation for their emergence. In doing so, we create a powerful visual tool that can be used to ground discussions about the impact artificial agents have on organizations and humans within them. Copyright © 2023 Ðula, Berberena, Keplinger and Wirzberger.",2023,Ðula; Berberena; Keplinger; Wirzberger,journalArticle
2UTQYY3T,keep,high,"Empirical study measuring LLM impact on pull request quality across 212k+ PRs with controlled experiment, providing actionable guidance on human-centered LLM integration for code review",From assessment to enhancement of pull requests at scale: aligning code reviews with developer competencies using large language models,"Background] Efficient code review is essential in industrial software development, but writing high-quality Pull Request (PR) descriptions aligned with core software engineering competencies remains challenging. [Aims] To investigate Large Language Models (LLMs) as a reliable PR description assistant, we examined two research problems: (1) how developer competencies relate to real-world PR quality, and (2) how developers perceive PR quality and their variants (LLM-Improved). [Methods] We adopted six software engineering competencies to prompt six LLMs to score 212,687 PRs from 82 opensource projects spanning three repository archetypes. From these, we selected the top six PRs for a controlled experiment with 38 software professionals, using a $6 \times 6$ Latin square design to measure preferences. The LLMs generated three variants of each original (O) PR: degraded (D), improved from the original (IO), and improved from the degraded (ID). We then compared these variants across LLMs for semantic, lexical, and stylistic similarity. [Results] Surprisingly, our controlled experiment with 38 software professionals showed that the ID variant was rated significantly higher than both the Original PR (O) and the LLMDegraded (D) one. However, the IO variant was not significantly better, and participants complained about their verbosity and the “AI tone”. Concerning generalizability, the six LLMs produced semantically similar PRs, but with high lexical and stylistic variation. [Conclusions] This suggests LLMs can enhance PR by providing missing structure but require guidance to retain human nuance. Overall, our findings support human-centered, modelaware integration of LLMs to strengthen competency-aligned code review.",2025,L. Mariotto; C. M. Adriano; R. Eichhorn; D. Burgstahler; H. Giese,conferencePaper
E9RAWBDT,keep,high,"Grounded empirical study of vibe coding identifying code review burden, trust calibration dynamics, and practitioner best practices from 190,000+ words of developer discourse","Good vibrations? A qualitative study of Co-creation, communication, flow, and trust in vibe coding","Vibe coding, a term coined by Andrej Karpathy in February 2025, has quickly become a compelling and controversial natural language programming paradigm in AI-assisted software development. Centered on iterative co-design with an AI assistant, vibe coding emphasizes flow and experimentation over strict upfront specification. While initial studies have begun to explore this paradigm, most focus on analyzing code artifacts or proposing theories with limited empirical backing. There remains a need for a grounded understanding of vibe coding as it is perceived and experienced by developers. We present the first systematic qualitative investigation of vibe coding perceptions and practice. Drawing on over 190,000 words from semi-structured interviews, Reddit threads, and LinkedIn posts, we characterize what vibe coding is, why and how developers use it, where it breaks down, and which emerging practices aim to support it. We propose a qualitatively grounded theory of vibe coding centered on conversational interaction with AI, co-creation, and developer flow and joy. We find that AI trust regulates movement along a continuum from delegation to co-creation and supports the developer experience by sustaining flow. We surface recurring pain points and risks in areas including specification, reliability, debugging, latency, code review burden, and collaboration. We also present best practices that have been discovered and shared to mitigate these challenges. We conclude with implications for the future of AI dev tools and directions for researchers investigating vibe coding.",2025,Pimenova; Fakhoury; Bird; Storey; Endres,preprint
