item_key,bin,centrality,reason_code,rationale,in_human_50,title,authors,year,item_type,source,has_pdf,doi,arxiv_id,abstract
MQ5KZQTX,core,72,,"Interview study of how engineers perceive/trust/adopt LLM-assisted code review vs peers, directly on human engagement and over-reliance in oversight.",yes,Human and machine: how software engineers perceive and engage with AI-assisted code reviews compared to their peers,A. Alami; N. Ernst,2025,conferencePaper,ieee,no,10.1109/CHASE66643.2025.00016,,"The integration of artificial intelligence (AI) continues to increase and evolve, including in software engineering (SE). This integration involves processes traditionally entrusted to humans, such as coding. However, the impact on sociotechnical processes like code review remains underexplored. In this interview-based study (20 interviewees), we investigate how software engineers perceive and engage with Large Language Model (LLM)-assisted code reviews compared to human peerled reviews. In this inherently human-centric process, we aim to understand how software engineers navigate the introduction of AI into collaborative workflows. We found that engagement in code review is multi-dimensional, spanning cognitive, emotional, and behavioral dimensions. The introduction of LLM-assisted review impacts some of these attributes. For example, there is less need for emotional regulation and coping mechanisms when dealing with an LLM compared to peers. However, the cognitive load sometimes is higher in dealing with LLM-generated feedback due to its excessive details. Software engineers use a similar sense-making process to evaluate and adopt feedback suggestions from their peers and the LLM. However, the LLM feedback adoption is constrained by trust and lack of context in the review. Our findings contribute to a deeper understanding of how AI tools are impacting SE socio-technical processes and provide insights into the future of AI-human collaboration in SE practices."
HDVEI6LK,discard,10,out-of-scope,Benchmark data-leakage/memorization methodology with no governance or human-oversight angle.,no,Are large language models memorizing bug benchmarks?,D. Ramos; C. Mamede; K. Jain et al.,2025,conferencePaper,ieee,no,10.1109/LLM4Code66737.2025.00005,,"Large Language Models (LLMs) have become integral to various software engineering tasks, including code generation, bug detection, and repair. To evaluate model performance in these domains, numerous bug benchmarks containing real-world bugs from software projects have been developed. However, a growing concern within the software engineering community is that these benchmarks may not reliably reflect true LLM performance due to the risk of data leakage. Despite this concern, limited research has been conducted to quantify the impact of potential leakage.In this paper, we systematically evaluate popular LLMs to assess their susceptibility to data leakage from widely used bug benchmarks. To identify potential leakage, we use multiple metrics, including a study of benchmark membership within commonly used training datasets, as well as analyses of negative log-likelihood and 5-gram accuracy. Our findings show that certain models, in particular codegen-multi, exhibit significant evidence of memorization in widely used benchmarks like Defects4J, while newer models trained on larger datasets like LLaMa 3.1 exhibit limited signs of leakage. These results highlight the need for careful benchmark selection and the adoption of robust metrics to adequately assess models capabilities."
SHAIEC8U,discard,26,out-of-scope,"Transformer benchmark comparison for generating review comments, a capability study with no governance or human-oversight link.",yes,Transformer models for code review comment generation: a performance comparison on GitHub data,Y. Gogri; A. Panchal; Y. Khatri et al.,2025,conferencePaper,ieee,no,10.1109/AIMV66517.2025.11203699,,"Automated code review is an essential aspect of modern software development, enhancing code quality and maintainability. In this study, the performance of four pre-trained transformer based models T5-Small, CodeT5-Base, CodeBERT, and T5-Base for generating review comments on Python code changes were compared. A custom dataset gathered from GitHub pull request reviews is used to fine-tune each model on structured metadata, encompassing filenames, diff hunks, code modifications, and developer feedback. Evaluation metrics using BLEU score, ROUGE score, and human assessment shows that T5-Small achieves strong results despite its smaller size, generating contextually relevant and readable comments. CodeT5-Base also performs well, leveraging its code-specific pretraining, while CodeBERT excels in representing code, but struggles with fluent text generation. T5-Base, despite being larger, does not significantly outperform the smaller models. These findings highlight the efficiency of lightweight models like T5-Small in automated code review while underscoring the trade-offs between model size, fluency, and domain-specific performance."
HCQSZWZR,discard,27,out-of-scope,"SOC/SOAR security-incident automation where AI-generated code is incidental and the oversight is over incident response, not over AI code in a dev pipeline.",yes,Toward robust security orchestration and automated response in security operations centers with a hyper-automation approach using agentic artificial intelligence,Kurnia; Brata; Nelistiani et al.,2025,journalArticle,"arxiv,scopus",no,10.3390/info16050365,,"The evolving landscape of cybersecurity threats demands the modernization of Security Operations Centers (SOCs) to enhance threat detection, response, and mitigation. Security Orchestration, Automation, and Response (SOAR) platforms play a crucial role in addressing operational inefficiencies; however, traditional no-code SOAR solutions face significant limitations, including restricted flexibility, scalability challenges, inadequate support for advanced logic, and difficulties in managing large playbooks. These constraints hinder effective automation, reduce adaptability, and underutilize analysts’ technical expertise, underscoring the need for more sophisticated solutions. To address these challenges, we propose a hyper-automation SOAR platform powered by agentic-LLM, leveraging Large Language Models (LLMs) to optimize automation workflows. This approach shifts from rigid no-code playbooks to AI-generated code, providing a more flexible and scalable alternative while reducing operational complexity. Additionally, we introduce the IVAM framework, comprising three critical stages: (1) Investigation, structuring incident response into actionable steps based on tailored recommendations, (2) Validation, ensuring the accuracy and effectiveness of executed actions, (3) Active Monitoring, providing continuous oversight. By integrating AI-driven automation with the IVAM framework, our solution enhances investigation quality, improves response accuracy, and increases SOC efficiency in addressing modern cybersecurity threats. © 2025 by the authors."
5Q4G4CQB,core,76,,Empirically examines LLM-automated code review in CI with explicit findings on the need for human supervision to manage risks at scale.,no,AI-driven continuous integration: automating code review and deployment with LLMs,D. O. Salem; Y. Alahmed; R. Fnich et al.,2025,conferencePaper,"ieee,scopus,wos",no,10.1109/FMEC65595.2025.11119365,,"The integration of a Large Language Models (LLMs) into Continuous Integration (CI) pipelines greatly enhances the efficiency of the software development process. AI-based CI improves code quality by decreasing integration failure rates by 30 % and deployment time by 40 %. These models help in identifying bugs, enforcing coding standards, writing unit tests, and optimizing release management. But AIdriven CI comes with risks of security vulnerabilities, model bias and the need for human supervision. This paper uses case studies, surveys, and interviews to explore the effects of AI on CI/CD pipelines and identifies the pros and cons. The results of this search show that the use of AI in CI improves effectiveness, but it needs better oversight to avoid risks and improve model performance."
YJLK5FPA,discard,29,wrong-type,Constitutional/policy argument with a proposed enforcement layer but largely position-based with no evidence base or code relevance.,no,Ethics for oversight and protection the constitutional case for AI governance infrastructure,Basil Puglisi,2026,journalArticle,ssrn,no,,,"This paper makes the constitutional case for AI governance infrastructure, arguing that the American public does not need more AI regulation but rather / The paper introduces a three-tier distinction between Ethical AI, Responsible AI, and AI Governance, proposes GOPEL (Governance Orchestrator Policy Enforcement / AI Governance, Constitutional Oversight, Provider Plurality, GOPEL, Non-Cognitive Agent, Public Policy, AI Infrastructure, Automation Bias, Democratic"
EVIRWHTD,context,60,,"Formalizes vibe coding with a reference architecture and reviews security/maintainability risks, but oversight mechanism is largely conceptual.",no,Vibe coding: toward an AI-native paradigm for semantic and intent-driven programming,Bamil,2025,preprint,arxiv,no,,2510.17842,"Recent advances in large language models have enabled developers to generate software by conversing with artificial intelligence systems rather than writing code directly. This paper introduces vibe coding, an emerging AI-native programming paradigm in which a developer specifies high-level functional intent along with qualitative descriptors of the desired ""vibe"" (tone, style, or emotional resonance). An intelligent agent then transforms those specifications into executable software. We formalize the definition of vibe coding and propose a reference architecture that includes an intent parser, a semantic embedding engine, an agentic code generator, and an interactive feedback loop. A hypothetical implementation is described. We compare vibe coding with declarative, functional, and prompt-based programming, and we discuss its implications for software engineering, human-AI collaboration, and responsible AI practice. Finally, we examine reported productivity gains and democratizing effects, review recent studies that highlight vulnerabilities and potential slowdowns, identify key challenges such as alignment, reproducibility, bias, explainability, maintainability, and security, and outline future directions and open research questions."
YXKHSW6S,context,43,,Meaningful human control for algorithmic error detection is a transferable oversight concept but legal/general rather than code-focused.,no,Meaningful human control to detect algorithmic errors,Winston Maxwell,2023,journalArticle,ssrn,no,,,"to the October 6, 2020 ruling of the CJEU, many other statutes and court decisions require human control over algorithmic decisions: the EU’s proposed AI / I will not discuss in this article the other objectives linked to human control, including its role in allocating liability and in demonstrating compliance / human control, AI, artificial intelligence, explainability, meaningful human control, GDPR, AI Act, human rights, error detection, Ligue des droits humains"
KGAV77U3,context,42,,"Capability benchmark, but its evidence that LLM self-diagnosis/repair fails is a transferable limitation of automated (self-)oversight.",yes,VIBEPASS: can vibe coders really pass the vibe check?,Bansal; Fangkai; Zhou et al.,2026,preprint,arxiv,no,,2603.15921,"As Large Language Models shift the programming toward human-guided ''vibe coding'', agentic coding tools increasingly rely on models to self-diagnose and repair their own subtle faults -- a capability central to autonomous software engineering yet never systematically evaluated. We present \name{}, the first empirical decomposition that jointly evaluates two coupled tasks: \emph{Fault-Triggering Test Generation (FT-Test)} constructing a discriminative witness that exposes a latent bug, and \emph{Fault-targeted Program Repair (FPR)}, repairing it under varying diagnostic conditions. \name{} pairs competitive programming problems with LLM-generated solutions that pass partial test suites but fail on semantic edge cases, enabling controlled identification of where the diagnostic chain breaks down. Evaluating 12 frontier LLMs, we find that fault-targeted reasoning does not scale with general coding ability. Models produce syntactically valid test inputs at near-ceiling rates yet collapse on discriminative generation, with fault hypothesis generation -- not output validation -- as the dominant bottleneck. Test-guided repair reveals a complementary insight: when self-generated tests successfully witness a fault, the resulting repair matches or outperforms repair guided by externally provided tests, but tests that fail to witness the fault actively degrade repair below unguided baselines. Together, these results reframe the challenge of autonomous debugging: the binding bottleneck is not code synthesis or test validity but fault-target reasoning, a capability that remains deficient across all frontier models. As Large Language Models shift the programming toward human-guided ''vibe coding'', agentic coding tools increasingly rely on models to self-diagnose and repair their own subtle faults -- a capability central to autonomous software engineering yet never systematically evaluated."
QNHBEIHD,context,48,,"Large-scale measurement of vulnerabilities in LLM-generated code, evidencing the AI-code risk problem but no oversight mechanism.",no,LLMs in web development: evaluating LLM-generated PHP code unveiling vulnerabilities and limitations,Tóth; Bisztray; Erdődi,2024,conferencePaper,scopus,no,10.1007/978-3-031-68738-9_34,,"This study evaluates the security of web application code generated by Large Language Models, analyzing 2,500 GPT-4 generated PHP websites. These were deployed in Docker containers and tested for vulnerabilities using a hybrid approach of Burp Suite active scanning, static analysis, and manual review. Our investigation focuses on identifying Insecure File Upload, SQL Injection, Stored XSS, and Reflected XSS in GPT-4 generated PHP code. This analysis highlights potential security risks and the implications of deploying such code in real-world scenarios. Overall, our analysis found 2,440 vulnerable parameters. According to Burp’s Scan, 11.56% of the sites can be straight out compromised. Adding static scan results, 26% had at least one vulnerability that can be exploited through web interaction. Certain coding scenarios, like file upload functionality, are insecure 78% of the time, underscoring significant risks to software safety and security. The main contribution of our research is the creation of a methodology, that allows benchmarking LLMs for deployable PHP code generation, where the investigated property is secure code generation. We have made the source codes and a detailed vulnerability record for each GPT-4 generated sample publicly available to support further research: https://github.com/Beckyntosh/ChatPHP. This study emphasizes the crucial need for thorough testing and evaluation if generative AI technologies are used in software development. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
TJH7QFAX,core,70,,Proposes a code-health metric to identify where AI edits are lower risk versus where additional human oversight is warranted at scale.,no,"Code for machines, not just humans: quantifying AI-friendliness with code health metrics",Borg; Hagatulah; Tornhill et al.,2026,preprint,arxiv,yes,,2601.02200,"We are entering a hybrid era in which human developers and AI coding agents work in the same codebases. While industry practice has long optimized code for human comprehension, it is increasingly important to ensure that LLMs with different capabilities can edit code reliably. In this study, we investigate the concept of ``AI-friendly code'' via LLM-based refactoring on a dataset of 5,000 Python files from competitive programming. We find a meaningful association between CodeHealth, a quality metric calibrated for human comprehension, and semantic preservation after AI refactoring. Our findings confirm that human-friendly code is also more compatible with AI tooling. These results suggest that organizations can use CodeHealth to guide where AI interventions are lower risk and where additional human oversight is warranted. Investing in maintainability not only helps humans; it also prepares for large-scale AI adoption."
GPPK8TWP,context,35,,"Argues for verifiability-first meaningful human control in AI-mediated management; conceptual framework, non-code domain.",no,"Agency without liability: rule-evading optimization, the deterrence gap, and the synthetic outlaw in AI-mediated management",Jonathan Gropper,2026,journalArticle,ssrn,no,,,"Yet in practice, AI-mediated management often produces a different structural condition: agency without liability. / It argues for a verifiability-first approach to management ethics, combining reviewable decision pathways, meaningful human control as reason-responsiveness / rule-evading optimization, algorithmic management, responsibility gap, AI governance, AI Rule evasion, AI Safety, AI in management, AI accountability, / AI liability, AI verifiability, deterrence gap, Synthetic Outlaw, EU AI Act, autonomous systems regulation, algorithmic accountability"
QTJPLBYR,core,72,,Controlled experiment evaluating LLM-code security with both human-expert and LLM-as-judge review—directly a human-in-the-loop oversight mechanism.,no,Evaluating security and inclusivity in LLM-generated code: a controlled experiment,Bilal Naqvi; Waleed Bin Shahid; Janne Parkkila et al.,2026,journalArticle,ssrn,no,,,"systems and services.Objective: The objectives of this study are two-fold: (i) to evaluate the efficacy of LLM-generated code in implementing security / Moreover, after each round, the LLM-generated code artifact was evaluated against security and inclusivity criteria by both human experts and LLM-based / Controlled Experiment, Empirical Studies, Inclusivity, Large Language Model, LLM, Security, Software engineering, Software Quality"
5BAZZWHG,core,76,,"Empirical study of declining cognitive engagement and over-reliance with agentic coding assistants, proposing cognitive-forcing oversight mechanisms.",no,"""I'm not reading all of that"": understanding software engineers' level of cognitive engagement with agentic coding assistants",Catalan; Dizon; Monderin et al.,2026,preprint,arxiv,yes,,2603.14225,"Over-reliance on AI systems can undermine users' critical thinking and promote complacency, a risk intensified by the emergence of agentic AI systems that operate with minimal human involvement. In software engineering, agentic coding assistants (ACAs) are rapidly becoming embedded in everyday development workflows. Since software engineers (SEs) create systems deployed across diverse and high-stakes real-world contexts, these assistants must function not merely as autonomous task performers but as Tools for Thought that actively support human reasoning and sensemaking. We conducted a formative study examining software engineers' cognitive engagement and sensemaking processes when working with an ACA. Our findings reveal that cognitive engagement consistently declines as tasks progress, and that current ACA designs provide limited affordances for reflection, verification, and meaning-making. Based on these findings, we identify concrete design opportunities leveraging richer interaction modalities and cognitive-forcing mechanisms to sustain engagement and promote deeper thinking in AI-assisted programming."
5H6KQCJM,context,60,,"Empirical survival analysis of AI-code framing organizational practices as the maintenance bottleneck, transferable but not an oversight mechanism per se.",no,Will it survive? Deciphering the fate of AI-generated code in open source,Rahman; Shihab,2026,preprint,coursework,yes,10.48550/arXiv.2601.16809,2601.16809,"The integration of AI agents as coding assistants into software development has raised questions about the long-term viability of AI agent-generated code. A prevailing hypothesis within the software engineering community suggests this code is ""disposable"", meaning it is merged quickly but discarded shortly thereafter. If true, organizations risk shifting maintenance burden from generation to post-deployment remediation. We investigate this hypothesis through survival analysis of 201 open-source projects, tracking over 200,000 code units authored by AI agents versus humans. Contrary to the disposable code narrative, agent-authored code survives significantly longer: at the line level, it exhibits a 15.8 percentage-point lower modification rate and 16% lower hazard of modification (HR = 0.842, p < 0.001). However, modification profiles differ. Agent-authored code shows modestly elevated corrective rates (26.3% vs. 23.0%), while human code shows higher adaptive rates. However, the effect sizes are small (Cramér's V = 0.116), and per-agent variation exceeds the agent-human gap. Turning to prediction, textual features can identify modification-prone code (AUC-ROC = 0.671), but predicting when modifications occur remains challenging (Macro F1 = 0.285), suggesting timing depends on external organizational dynamics. The bottleneck for agent-generated code may not be generation quality, but the organizational practices that govern its long-term evolution."
79JAXRME,context,34,,Conceptual framework on sycophancy/epistemic degradation relevant to over-reliance but lacks empirical/code-specific oversight mechanism.,yes,Self-suppressing correction in agentic AI platforms: a conceptual framework for coupled epistemic degradation,Paul Gallacher,2026,journalArticle,ssrn,no,,,"Agentic AI systems do not simply answer prompts. They select, sequence, and execute actions across workflows, tools, and institutional settings. / agentic AI, platform governance, reinforcement learning from human feedback, sycophancy, epistemic degradation, market failure"
VFE9BX2T,context,46,,"LLM IaC generation with human-in-the-loop feedback and security-compliance measurement, but generation-centric with only adjacent oversight relevance.",yes,"Deployability-centric infrastructure-as-code generation: fail, learn, refine, and succeed through LLM-empowered DevOps simulation",Zhang; Pan; Zhang et al.,2025,preprint,arxiv,yes,,2506.05623,"Infrastructure-as-Code (IaC) generation holds significant promise for automating cloud infrastructure provisioning. Recent advances in Large Language Models (LLMs) present a promising opportunity to democratize IaC development by generating deployable infrastructure templates from natural language descriptions. However, current evaluation focuses on syntactic correctness while ignoring deployability, the critical measure of the utility of IaC configuration files. Six state-of-the-art LLMs performed poorly on deployability, achieving only 20.8$\sim$30.2% deployment success rate on the first attempt. In this paper, we construct DPIaC-Eval, the first deployability-centric IaC template benchmark consisting of 153 real-world scenarios cross 58 unique services. Also, we propose an LLM-based deployability-centric framework, dubbed IaCGen, that uses iterative feedback mechanism encompassing format verification, syntax checking, and live deployment stages, thereby closely mirroring the real DevOps workflows. Results show that IaCGen can make 54.6$\sim$91.6% generated IaC templates from all evaluated models deployable in the first 10 iterations. Additionally, human-in-the-loop feedback that provide direct guidance for the deployability errors, can further boost the performance to over 90% passItr@25 on all evaluated LLMs. Furthermore, we explore the trustworthiness of the generated IaC templates on user intent alignment and security compliance. The poor performance (25.2% user requirement coverage and 8.4% security compliance rate) indicates a critical need for continued research in this domain."
LJA5AH6N,discard,22,out-of-scope,LLM test-skeleton generation in an educational setting is a capability/productivity study in a known false-positive class with no oversight angle.,no,Comparative evaluation of large language models for test-skeleton generation,S. Boorlagadda; N. N. S. Atluri; M. M. Ölmez et al.,2025,conferencePaper,ieee,no,10.1109/FIE63693.2025.11328463,,"This paper explores the use of Large Language Models (LLMs) to automate the generation of test skeletonsstructural templates that outline unit test coverage without implementing full test logic. Test skeletons are especially important in test-driven development (TDD), where they provide an early framework for systematic verification. Traditionally authored manually, their creation can be timeconsuming and error-prone, particularly in educational or large-scale development settings. We evaluate four LLMs-GPT-4, DeepSeek-Chat, Llama4-Maverick, and Gemma2-9Bon their ability to generate RSpec skeletons for a real-world Ruby class developed in a university software engineering course. Each model's output is assessed using static analysis and a blind expert review to measure structural correctness, clarity, maintainability, and conformance to testing best practices. The study reveals key differences in how models interpret code structure and testing conventions, offering insights into the practical challenges of using LLMs for automated test scaffolding. Our results show that DeepSeek generated the most maintainable and well-structured skeletons, while GPT-4 produced more complete but conventionally inconsistent output. The study reveals prompt design and contextual input as key quality factors."
AYGMC9Y4,context,44,,"CRUD generation study finding human intervention essential for security, a human-AI hybrid oversight framing but mostly capability/quality focused.",no,"Analyzing the impact of prompt engineering on efficiency, code quality, and security in CRUD application development",K. A. Ashen Shanuka; J. Wijayanayake; K. Vidanage,2025,conferencePaper,ieee,no,10.1109/ICARC64760.2025.10963005,,"This research evaluates the capabilities of Large Language Models (LLMs) in generating CRUD applications using Python Flask framework, focusing on code quality, security, and UI design. The study analyzes five prominent LLMs: Claude 3.5 Sonnet, Gemini, GitHub Copilot, GPT-4, and Perplexity, through automated static code review tools including Code Factor, Codacy, and Code Scene. The evaluation reveals consistently high performance across models, with GitHub Copilot and Gemini achieving superior code health metrics (9.5-10.0) and 100% green code ratings. While all models maintained Grade A ratings in Code Factor, common security vulnerabilities, particularly in Flask debug mode configuration, persisted across implementations. UI evaluation through professional interviews indicated that while generated interfaces were functionally complete, they lagged behind human-designed UIs in aesthetic appeal. The research demonstrates that LLMs can automate 60-90% of CRUD development tasks, though human intervention remains essential for environment setup and security configuration. The findings suggest a shift toward human-AI hybrid development approaches, where entry-level developers can effectively manage LLM-generated code while focusing on strategic implementation decisions."
TUYBSBZ2,context,40,,"LLM change-intent classification supports modern code review workflows; adjacent, transferable tooling for review at scale.",no,On the performance of large language models for code change intent classification,I. Oukhay; M. Chouchen; A. Ouni et al.,2025,conferencePaper,ieee,no,10.1109/SANER64311.2025.00062,,"Modern Code Review (MCR) is an essential practice in software engineering, supporting early defect detection, enhancing code quality, and fostering knowledge. To manage code review tasks effectively, developers need to understand the intent behind code changes, such as a bug fix, test, refactoring, or new feature. Traditional methods for categorizing code changes in MCR rely on rule-based heuristics with predefined keywords. However, these methods lack context regarding the code changes, leading to limited generalizability, particularly when dealing with sparsely documented changes. This paper addresses these limitations by investigating the potential of Large Language Models (LLMs) for changes' intent classification. We introduce LLM Change Classifier (LLMCC), an LLM-based approach that classifies code changes based on their underlying intent. We evaluate the effectiveness of LLMCC by conducting an empirical study on three open-source projects: Android, OpenS tack, and Qt. The performance of LLMCC was benchmarked against traditional heuristic methods, conventional machine learning algorithms (including Decision Trees and Random Forests), and state-of-the-art transformer models (including BERT and RoBERTa). Results show that LLMCC significantly enhances code change intent classification accuracy, achieving up to a 33 % improvement in F1 score over heuristic-based methods. Additionally, LLMCC outperformed both traditional machine learning and transformer models, achieving an average 77% improvement in terms of Matthew Correlation Coefficient (MCC). These findings underscore the potential of LLMCC to streamline code change intent classification."
TUE9R2PH,context,52,,Concrete risk-gated protocol with human review/approval for AI agent write operations—transferable oversight mechanism but not code-specific.,no,OpenPort protocol: a security governance specification for AI agent tool access,Genliang Zhu; Chu Wang; Ziyuan Wang et al.,2026,journalArticle,ssrn,no,,,"AI agents increasingly require direct, structured access to application data and actions, but production deployments still struggle to express and verify / For write operations, OpenPort specifies a risk-gated lifecycle that defaults to draft creation and human review, supports time-bounded auto-execution / AI agents, tool exposure, authorization, least privilege, risk-gated writes, drafts and approvals, rate limiting, auditability, protocol specification, / WebMCP, MCP, CHATGPT, CLAUDE, OPENCLAW, LLM, deepseek, qwen, AI, Artificial intelligence"
NKII6YDD,context,50,,"Constrained-optimization framework for allocating scarce human cognition vs AI—directly relevant to scaling oversight to volume but domain-agnostic, not code-specific.",no,When to delegate to artificial intelligence: a constrained resource optimization framework,Brian Toney; Gregory Lubiani,2025,journalArticle,ssrn,no,,,"As Artificial Intelligence (AI) systems reshape industries, organizations must decide how best to deploy finite human cognition while enhancing / This paper develops a unified framework for allocating limited cognitive resources between direct human tasks and the refinement of AI systems. / Artificial Intelligence, Resource Allocation, Constrained Optimization, Diminishing Returns, Strict Concavity, Bounded Rationality AMS subject classifications"
FEJLI262,discard,24,out-of-scope,"Automated jailbreak-output safeguard, not human oversight of AI-generated code.",no,A decontextualized LLM-based safeguard technique for automated jailbreak mitigation,Tiziano Santilli; Marco De Luca; Domenico Amalfitano et al.,2025,journalArticle,ssrn,no,,,"Emerging regulation (e.g., the EU AI Act) demands proactive controls that verify outputs before delivery. / AI Act and provider policies. / Ai, Compliance, Large Language Model, Jailbreak, Software"
VCI88UZD,core,70,,"Framework blending human oversight with automated certification of modules for AI-assembled software, with explicit governance/scalability/accountability discussion.",no,Human-certified module repositories for the AI age,Enyedi,2026,preprint,arxiv,yes,,2603.02512,"Human-Certified Module Repositories (HCMRs) are introduced in this work as a new architectural model for constructing trustworthy software in the era of AI-assisted development. As large language models increasingly participate in code generation, configuration synthesis, and multi-component integration, the reliability of AI-assembled systems will depend critically on the trustworthiness of the building blocks they use. Today's software supply-chain incidents and modular development ecosystems highlight the risks of relying on components with unclear provenance, insufficient review, or unpredictable composition behavior. We argue that future AI-driven development workflows require repositories of reusable modules that are curated, security-reviewed, provenance-rich, and equipped with explicit interface contracts. To this end, we propose HCMRs, a framework that blends human oversight with automated analysis to certify modules and support safe, predictable assembly by both humans and AI agents. We present a reference architecture for HCMRs, outline a certification and provenance workflow, analyze threat surfaces relevant to modular ecosystems, and extract lessons from recent failures. We further discuss implications for governance, scalability, and AI accountability, positioning HCMRs as a foundational substrate for reliable and auditable AI-constructed software systems."
YRBG342S,context,60,,"Argues for active human oversight in AI software testing citing EU AI Act, but a position paper without an evidence base.",no,"Synergizing human-AI cooperation in automated software testing: a balance for enhanced efficiency, reliability, and trust",Tuape; Kasurinen; Najjemba et al.,2025,conferencePaper,scopus,no,10.1109/ICECCME64568.2025.11277750,,"Achieving reliable and trustworthy automated software testing requires a synergistic approach that leverages both human expertise and AI capabilities. This position paper argues that active human oversight is crucial for addressing key challenges such as the test oracle problem and training data bias. By fostering human-AI cooperation, potential biases and inaccuracies can be mitigated, leading to more efficient, reliable, and trustworthy automated testing. This approach also aligns with principles from the EU AI Act, which emphasizes the need for effective human control over AI systems. The paper concludes by outlining a future research agenda focused on developing frameworks to foster seamless human-AI collaboration and presenting several open research questions vital for advancing the field.  © 2025 IEEE."
Y5LGJ7L7,context,48,,"Empirical study of human discernment/corrective override of algorithmic errors transfers to whether reviewers can catch flawed AI outputs, though child-welfare domain.",no,Human discernment of algorithmic errors: a case study in child welfare,Riccardo Fogliato; Maria De-Arteaga; Alexandra Chouldechova,2025,journalArticle,ssrn,no,,,"The use of artificial intelligence (AI) technologies, such as machine learning algorithms, to assist decision-makers in high-stakes domains has been met / Human in the loop, Decision support, Corrective overrides, Algorithm aversion, Automation bias, Algorithm-assisted decision-making, Child welfare"
DY2Y5QE3,context,30,,"Agentic AI IP/liability risk analysis, governance-adjacent legal framing with limited operationalizable transfer to code oversight.",yes,"Rogue AI agents won't be testifying-you will: agentic AI, IP and liability risks, and a path forward",Justin Pierce; Heather West; Brandon Phemester,2026,journalArticle,ssrn,no,,,"systems act beyond intended bounds, interact with restricted systems, accept terms, access protected data, or make external representations on behalf of an organization / For companies operating in IP-intensive and regulated environments, agentic AI governance must be treated not as a technical afterthought but as a core"
EB9D98W5,core,72,,Directly addresses scalable oversight of AI-generated code via LLM-in-the-loop assessment plus human-in-the-loop for safety/quality of generated PLC code.,no,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming,Ketut Adnyana; Andreas Schwung,2025,journalArticle,ssrn,no,,,"Industrial automation in Industry 5.0 demands deterministic and safety-compliant PLC code across heterogeneous vendor ecosystems. / similarity, LLM-in-the-Loop (LITL) provides scalable semantic assessment across functional correctness, readability, safety compliance, and modularity, while Human-in-the-Loop / Industrial AI, deterministic prompt engineering, fixed-prompt validation, human-in-the-loop, LLM-in-the-loop, programmable logic controller (PLC) programming"
MPU6HLPS,discard,26,out-of-scope,"Production engineering-copilot RAG deployment focused on retrieval and productivity, with no oversight or governance dimension.",no,ENCO: deploying production-scale engineering copilots,Zhu; Demarne; Deng et al.,2026,conferencePaper,acm,yes,10.1145/3770854.3783949,0854.37839,"Software engineers frequently grapple with the challenge of accessing fragmented documentation and telemetry data, such as Troubleshooting Guides (TSGs), incident reports, code repositories, and internal tools maintained by different teams. In this work, we introduced ENCO, a comprehensive framework for developing, deploying, and managing copilots tailored to improve productivity in large scale production scenarios. The framework combines an innovative NL2SearchQuery module with a lightweight hierarchical agentic planner to enable accurate and efficient retrieval-augmented generation (RAG) for code, semi-structured data and documents. These components allow the copilot to retrieve relevant information from diverse sources and invoke the right skills with low latency to answer highly complex technical questions. Since its launch in September 2023, ENCO has demonstrated its effectiveness through widespread adoption, enabling tens of thousands of interactions and engaging over 1,000 monthly active users (MAUs). The system has been continuously optimized based on usage patterns and user feedback, resulting in measurable improvements in response relevance, latency, and user satisfaction."
Q6SVKUCU,context,32,,Tort/liability framing for nondeterministic AI is adjacent governance theory but not tied to code oversight mechanisms.,no,Nondeterministic torts: a technical approach to AI liability,Trent Kannegieter,2025,journalArticle,ssrn,no,,,"But modern artificial intelligence (AI) systems, specifically large language models (LLMs) and other types of “generative AI” (GenAI), challenge this assumption / Even as AI applications spread rapidly, liability for AI systems gone awry remains an open question. / tort law, negligence, product liability, artificial intelligence, AI, LLMs, large language models, emerging technology"
5I2W8IC6,core,70,,"Systematic review plus expert survey building a trust/trustworthiness framework for LLMs in SE, directly relevant to overtrust and oversight of AI code.",yes,Mapping the trust terrain: LLMs in software engineering - insights and perspectives,Khati; Liu; Palacio et al.,2025,journalArticle,acm,yes,10.1145/3771282,,"The application of Large Language Models (LLMs) in Software Engineering (SE) continues to grow rapidly across both industry and academia. As these models become integral to critical SE processes, ensuring their reliability and trustworthiness becomes essential. Achieving this requires a balanced approach to trust: excessive trust can introduce security vulnerabilities, while insufficient trust may hinder innovation. However, the conceptual landscape of trust in LLMs for SE(LLM4SE) remains unclear. Key concepts such as trust, distrust, and trustworthiness lack precise definitions, factors that shape trust formation remain underexplored, and metrics for trust in LLMs remain undeveloped. To clarify the current research landscape and identify future directions, we conducted a comprehensive review of (88) articles: a systematic review of (18) studies on LLMs in SE, supplemented by an analysis of (70) articles from the broader trust literature. Furthermore, we surveyed (25) domain experts to gather practitioners’ perspectives on trust and identify gaps between their experiences and the existing literature. Our findings provide a structured overview of trust-related concepts in LLM4SE, outlining key areas for future research. This study contributes to building more trustworthy LLM-assisted software engineering processes, ultimately supporting safer and more effective adoption of LLMs in SE."
